source;APs;original NL;original LTL;Spot LTL;lifted_LTL
navi.jsonl;"['""let_go(apple)""', '""journey_to(house)""']";whenever journey_to house or never let_go apple;"F ( ""journey_to(house)"" ) | G ( ! ( ""let_go(apple)"" ) )";"F""journey_to(house)"" | G!""let_go(apple)""";Fap_1 | G!ap_0
navi.jsonl;"['""seize(orange)""', '""set_out_to(house)""']";at any time set_out_to house or at some time seize orange;"F ( ""set_out_to(house)"" ) | F ( ""seize(orange)"" )";"F""set_out_to(house)"" | F""seize(orange)""";Fap_1 | Fap_0
navi.jsonl;"['""venture(flag)""', '""keep(apple)""']";at some time venture flag and keep apple;"F ( ""venture(flag)"" ) & ""keep(apple)""";"""keep(apple)"" & F""venture(flag)""";ap_1 & Fap_0
navi.jsonl;"['""venture_towards(house)""', '""go_by(waste_bin)""']";go_by waste bin means that venture_towards house;"""go_by(waste_bin)"" -> ""venture_towards(house)""";"""go_by(waste_bin)"" -> ""venture_towards(house)""";ap_1 -> ap_0
navi.jsonl;"['""let_go(orange)""', '""arrive_at(tree)""']";never let_go orange or at any time arrive_at tree;"G ( ! ( ""let_go(orange)"" ) ) | F ( ""arrive_at(tree)"" )";"G!""let_go(orange)"" | F""arrive_at(tree)""";G!ap_0 | Fap_1
navi.jsonl;"['""go_by(trash_can)""', '""venture(house)""']";at any time venture house or forever go_by trash can;"F ( ""venture(house)"" ) | G ( ""go_by(trash_can)"" )";"F""venture(house)"" | G""go_by(trash_can)""";Fap_1 | Gap_0
navi.jsonl;"['""get_near(flag)""', '""snatch_up(pear)""']";snatch_up pear and whenever get_near flag;"""snatch_up(pear)"" & F ( ""get_near(flag)"" )";"""snatch_up(pear)"" & F""get_near(flag)""";ap_1 & Fap_0
navi.jsonl;"['""grab(tree)""', '""go_to(transh_can)""']";at any time go_to transh can or repeatedly grab tree;"F ( ""go_to(transh_can)"" ) | G ( F ( ""grab(tree)"" ) )";"F""go_to(transh_can)"" | GF""grab(tree)""";Fap_1 | GFap_0
navi.jsonl;"['""get_close(flag)""', '""start_going_to(tree)""']";at any time get_close flag or at any time start_going_to tree;"F ( ""get_close(flag)"" ) | F ( ""start_going_to(tree)"" )";"F""get_close(flag)"" | F""start_going_to(tree)""";Fap_0 | Fap_1
navi.jsonl;"['""move_past(trash_can)""', '""get_close(tree)""']";at some time get_close tree until whenever move_past trash can;"F ( ""get_close(tree)"" ) U F ( ""move_past(trash_can)"" )";"F""get_close(tree)"" U F""move_past(trash_can)""";Fap_1 U Fap_0
navi.jsonl;"['""walk_to(flag)""', '""journey_by(house)""']";whenever journey_by house and when possible walk_to flag;"F ( ""journey_by(house)"" ) & F ( ""walk_to(flag)"" )";"F""journey_by(house)"" & F""walk_to(flag)""";Fap_1 & Fap_0
navi.jsonl;"['""steal(apple)""', '""getting(pear)""']";at some time steal apple or whenever getting pear;"F ( ""steal(apple)"" ) | F ( ""getting(pear)"" )";"F""steal(apple)"" | F""getting(pear)""";Fap_0 | Fap_1
navi.jsonl;"['""secure(apple)""', '""present_at(flag)""']";at some time present_at flag or secure apple;"F ( ""present_at(flag)"" ) | ""secure(apple)""";"""secure(apple)"" | F""present_at(flag)""";ap_0 | Fap_1
navi.jsonl;"['""contact(house)""', '""go_by(house)""']";when possible contact house or at any time go_by house;"F ( ""contact(house)"" ) | F ( ""go_by(house)"" )";"F""contact(house)"" | F""go_by(house)""";Fap_0 | Fap_1
navi.jsonl;"['""have(apple)""', '""pick_up(pear)""']";pick_up pear or always have apple;"""pick_up(pear)"" | G ( ""have(apple)"" )";"""pick_up(pear)"" | G""have(apple)""";ap_1 | Gap_0
navi.jsonl;"['""secure(pear)""', '""get(apple)""']";when possible secure pear and whenever get apple;"F ( ""secure(pear)"" ) & F ( ""get(apple)"" )";"F""secure(pear)"" & F""get(apple)""";Fap_0 & Fap_1
navi.jsonl;"['""withhold(apple)""', '""secure(apple)""']";secure apple and at any time withhold apple;"""secure(apple)"" & F ( ""withhold(apple)"" )";"""secure(apple)"" & F""withhold(apple)""";ap_1 & Fap_0
navi.jsonl;"['""go_to(orange_bin)""', '""keep(apple)""']";keep apple and go_to orange bin;"""keep(apple)"" & ""go_to(orange_bin)""";"""go_to(orange_bin)"" & ""keep(apple)""";ap_0 & ap_1
navi.jsonl;"['""going_to(flag)""', '""visit(tree)""']";at any time going_to flag or visit tree;"F ( ""going_to(flag)"" ) | ""visit(tree)""";"""visit(tree)"" | F""going_to(flag)""";ap_1 | Fap_0
navi.jsonl;"['""move_towards(trash_can)""', '""visit(waste_basket)""']";when possible visit waste basket until move_towards trash can;"F ( ""visit(waste_basket)"" ) U ""move_towards(trash_can)""";"F""visit(waste_basket)"" U ""move_towards(trash_can)""";Fap_1 U ap_0
navi.jsonl;"['""grasp(orange)""', '""start_going_to(tree)""']";whenever start_going_to tree or grasp orange;"F ( ""start_going_to(tree)"" ) | ""grasp(orange)""";"""grasp(orange)"" | F""start_going_to(tree)""";ap_0 | Fap_1
navi.jsonl;"['""go_by(waste_bin)""', '""go_by(waste_basket)""']";go_by waste bin or whenever go_by waste basket;"""go_by(waste_bin)"" | F ( ""go_by(waste_basket)"" )";"""go_by(waste_bin)"" | F""go_by(waste_basket)""";ap_0 | Fap_1
navi.jsonl;"['""pass_by(house)""']";at some time pass_by house or at any time pass_by house;"F ( ""pass_by(house)"" ) | F ( ""pass_by(house)"" )";"F""pass_by(house)""";Fap_0
navi.jsonl;"['""stop_by(flag)""', '""pick_up(apple)""']";at some time pick_up apple or stop_by flag;"F ( ""pick_up(apple)"" ) | ""stop_by(flag)""";"""stop_by(flag)"" | F""pick_up(apple)""";ap_0 | Fap_1
navi.jsonl;"['""make_way(waste_basket)""', '""grab_hold(pear)""']";grab_hold pear or whenever make_way waste basket;"""grab_hold(pear)"" | F ( ""make_way(waste_basket)"" )";"""grab_hold(pear)"" | F""make_way(waste_basket)""";ap_1 | Fap_0
navi.jsonl;"['""approach(trash_can)""', '""let_go(orange)""']";approach trash can until do not let_go orange;"""approach(trash_can)"" U ! ( ""let_go(orange)"" )";"""approach(trash_can)"" U !""let_go(orange)""";ap_0 U !ap_1
navi.jsonl;"['""proceed_to(tree)""', '""visit(house)""']";at some time proceed_to tree and at some time visit house;"F ( ""proceed_to(tree)"" ) & F ( ""visit(house)"" )";"F""proceed_to(tree)"" & F""visit(house)""";Fap_0 & Fap_1
navi.jsonl;"['""venture_towards(house)""', '""secure(apple)""']";venture_towards house until secure apple;"""venture_towards(house)"" U ""secure(apple)""";"""venture_towards(house)"" U ""secure(apple)""";ap_0 U ap_1
navi.jsonl;"['""go_by(trash_can)""', '""go(home)""']";forever go_by trash can and at some time go home;"G ( ""go_by(trash_can)"" ) & F ( ""go(home)"" )";"G""go_by(trash_can)"" & F""go(home)""";Gap_0 & Fap_1
navi.jsonl;"['""go_near(house)""', '""start_going_to(house)""']";at any time start_going_to house or at any time go_near house;"F ( ""start_going_to(house)"" ) | F ( ""go_near(house)"" )";"F""start_going_to(house)"" | F""go_near(house)""";Fap_1 | Fap_0
navi.jsonl;"['""drop(orange)""', '""travel_to(house)""']";never drop orange or whenever travel_to house;"G ( ! ( ""drop(orange)"" ) ) | F ( ""travel_to(house)"" )";"G!""drop(orange)"" | F""travel_to(house)""";G!ap_0 | Fap_1
navi.jsonl;"['""gather(apple)""', '""let_go(orange)""']";gather apple or never let_go orange;"""gather(apple)"" | G ( ! ( ""let_go(orange)"" ) )";"""gather(apple)"" | G!""let_go(orange)""";ap_0 | G!ap_1
navi.jsonl;"['""move_past(trash_can)""', '""go_to(trash_bin)""']";when possible move_past trash can or at any time go_to trash bin;"F ( ""move_past(trash_can)"" ) | F ( ""go_to(trash_bin)"" )";"F""move_past(trash_can)"" | F""go_to(trash_bin)""";Fap_0 | Fap_1
navi.jsonl;"['""put_in(bucket)""', '""have(apple)""']";put_in bucket and always have apple;"""put_in(bucket)"" & G ( ""have(apple)"" )";"""put_in(bucket)"" & G""have(apple)""";ap_0 & Gap_1
navi.jsonl;"['""get(pear)""', '""visit(flag)""']";when possible get pear or whenever visit flag;"F ( ""get(pear)"" ) | F ( ""visit(flag)"" )";"F""get(pear)"" | F""visit(flag)""";Fap_0 | Fap_1
navi.jsonl;"['""hold(apple)""', '""approach(tree)""']";hold apple or approach tree;"""hold(apple)"" | ""approach(tree)""";"""approach(tree)"" | ""hold(apple)""";ap_1 | ap_0
navi.jsonl;"['""drop(pear)""', '""hold_on(pear)""']";forever hold_on pear and drop pear;"G ( ""hold_on(pear)"" ) & ""drop(pear)""";"""drop(pear)"" & G""hold_on(pear)""";ap_0 & Gap_1
navi.jsonl;"['""tax(apple)""', '""approach(house)""']";at some time tax apple means that when possible approach house;"F ( ""tax(apple)"" ) -> F ( ""approach(house)"" )";"F""tax(apple)"" -> F""approach(house)""";Fap_0 -> Fap_1
navi.jsonl;"['""go_to(bucket)""', '""grasp(apple)""']";when possible grasp apple and go_to bucket;"F ( ""grasp(apple)"" ) & ""go_to(bucket)""";"""go_to(bucket)"" & F""grasp(apple)""";ap_0 & Fap_1
navi.jsonl;"['""grasp(pear)""', '""put_in(apple_bucket)""']";if put_in apple bucket , at any time grasp pear;"""put_in(apple_bucket)"" -> F ( ""grasp(pear)"" )";"""put_in(apple_bucket)"" -> F""grasp(pear)""";ap_1 -> Fap_0
navi.jsonl;"['""go_to(pear)""', '""acquire(pear)""']";whenever acquire pear or repeatedly go_to pear;"F ( ""acquire(pear)"" ) | G ( F ( ""go_to(pear)"" ) )";"F""acquire(pear)"" | GF""go_to(pear)""";Fap_1 | GFap_0
navi.jsonl;"['""reach(flag)""']";when possible reach flag or whenever reach flag;"F ( ""reach(flag)"" ) | F ( ""reach(flag)"" )";"F""reach(flag)""";Fap_0
navi.jsonl;"['""gather(orange)""', '""walk_to(flag)""']";gather orange or at some time walk_to flag;"""gather(orange)"" | F ( ""walk_to(flag)"" )";"""gather(orange)"" | F""walk_to(flag)""";ap_0 | Fap_1
navi.jsonl;"['""go_to(apple_trashcan)""', '""got_to(house)""']";when possible got_to house or repeatedly go_to apple trashcan;"F ( ""got_to(house)"" ) | G ( F ( ""go_to(apple_trashcan)"" ) )";"F""got_to(house)"" | GF""go_to(apple_trashcan)""";Fap_1 | GFap_0
navi.jsonl;"['""travel_to(trash_can)""', '""pass_by(trash_bin)""']";whenever travel_to trash can can infer that when possible pass_by trash bin;"F ( ""travel_to(trash_can)"" ) -> F ( ""pass_by(trash_bin)"" )";"F""travel_to(trash_can)"" -> F""pass_by(trash_bin)""";Fap_0 -> Fap_1
navi.jsonl;"['""reach(flag)""']";at some time reach flag and at any time reach flag;"F ( ""reach(flag)"" ) & F ( ""reach(flag)"" )";"F""reach(flag)""";Fap_0
navi.jsonl;"['""stop_by(flag)""', '""grasp(pear)""']";at some time grasp pear or stop_by flag;"F ( ""grasp(pear)"" ) | ""stop_by(flag)""";"""stop_by(flag)"" | F""grasp(pear)""";ap_0 | Fap_1
navi.jsonl;"['""secure(apple)""', '""present_at(flag)""']";when possible present_at flag or secure apple;"F ( ""present_at(flag)"" ) | ""secure(apple)""";"""secure(apple)"" | F""present_at(flag)""";ap_0 | Fap_1
navi.jsonl;"['""grasp(orange)""', '""travel_to(waste_bin)""']";grasp orange and travel_to waste bin;"""grasp(orange)"" & ""travel_to(waste_bin)""";"""grasp(orange)"" & ""travel_to(waste_bin)""";ap_0 & ap_1
navi.jsonl;"['""drop(pear)""', '""journey_by(flag)""']";at some time journey_by flag and drop pear;"F ( ""journey_by(flag)"" ) & ""drop(pear)""";"""drop(pear)"" & F""journey_by(flag)""";ap_0 & Fap_1
navi.jsonl;"['""drop(pear)""', '""hold_on(pear)""']";drop pear and forever hold_on pear;"""drop(pear)"" & G ( ""hold_on(pear)"" )";"""drop(pear)"" & G""hold_on(pear)""";ap_0 & Gap_1
navi.jsonl;"['""obtain(orange)""', '""pass_by(house)""']";when possible pass_by house and at any time obtain orange;"F ( ""pass_by(house)"" ) & F ( ""obtain(orange)"" )";"F""pass_by(house)"" & F""obtain(orange)""";Fap_1 & Fap_0
navi.jsonl;"['""get_hold(apple)""', '""move_to(trash_can)""']";at some time get_hold apple and move_to trash can;"F ( ""get_hold(apple)"" ) & ""move_to(trash_can)""";"""move_to(trash_can)"" & F""get_hold(apple)""";ap_1 & Fap_0
navi.jsonl;"['""get_hold(apple)""', '""grab(orange)""']";at some time grab orange and at any time get_hold apple;"F ( ""grab(orange)"" ) & F ( ""get_hold(apple)"" )";"F""grab(orange)"" & F""get_hold(apple)""";Fap_1 & Fap_0
navi.jsonl;"['""withold(apple)""', '""let_go(apple)""']";when possible withold apple or at some time let_go apple;"F ( ""withold(apple)"" ) | F ( ""let_go(apple)"" )";"F""withold(apple)"" | F""let_go(apple)""";Fap_0 | Fap_1
navi.jsonl;"['""reach(tree)""', '""journey_to(flag)""']";whenever journey_to flag or at some time reach tree;"F ( ""journey_to(flag)"" ) | F ( ""reach(tree)"" )";"F""journey_to(flag)"" | F""reach(tree)""";Fap_1 | Fap_0
navi.jsonl;"['""show_yourself_near(house)""', '""take(apple)""']";at any time show_yourself_near house and take apple;"F ( ""show_yourself_near(house)"" ) & ""take(apple)""";"""take(apple)"" & F""show_yourself_near(house)""";ap_1 & Fap_0
navi.jsonl;"['""drop(pear)""', '""venture(house)""']";at any time venture house and never drop pear;"F ( ""venture(house)"" ) & G ( ! ( ""drop(pear)"" ) )";"F""venture(house)"" & G!""drop(pear)""";Fap_1 & G!ap_0
navi.jsonl;"['""go_to(tree)""', '""approach(house)""']";at any time go_to tree and at some time approach house;"F ( ""go_to(tree)"" ) & F ( ""approach(house)"" )";"F""go_to(tree)"" & F""approach(house)""";Fap_0 & Fap_1
navi.jsonl;"['""journey_by(house)""', '""go(home)""']";when possible go home or at any time journey_by house;"F ( ""go(home)"" ) | F ( ""journey_by(house)"" )";"F""go(home)"" | F""journey_by(house)""";Fap_1 | Fap_0
navi.jsonl;"['""going_to(flag)""', '""visit(waste_basket)""']";whenever going_to flag until when possible visit waste basket;"F ( ""going_to(flag)"" ) U F ( ""visit(waste_basket)"" )";"F""going_to(flag)"" U F""visit(waste_basket)""";Fap_0 U Fap_1
navi.jsonl;"['""scoop_up(apple)""', '""visit(house)""']";when possible scoop_up apple and at some time visit house;"F ( ""scoop_up(apple)"" ) & F ( ""visit(house)"" )";"F""scoop_up(apple)"" & F""visit(house)""";Fap_0 & Fap_1
navi.jsonl;"['""go_to(apple_trashcan)""', '""snatch_up(pear)""']";repeatedly go_to apple trashcan and snatch_up pear;"G ( F ( ""go_to(apple_trashcan)"" ) ) & ""snatch_up(pear)""";"""snatch_up(pear)"" & GF""go_to(apple_trashcan)""";ap_1 & GFap_0
navi.jsonl;"['""have_possession_of(apple)""', '""go_past(house)""']";when possible have_possession_of apple and at any time go_past house;"F ( ""have_possession_of(apple)"" ) & F ( ""go_past(house)"" )";"F""have_possession_of(apple)"" & F""go_past(house)""";Fap_0 & Fap_1
navi.jsonl;"['""move_past(trash_can)""', '""grab(apple)""']";at any time move_past trash can and whenever grab apple;"F ( ""move_past(trash_can)"" ) & F ( ""grab(apple)"" )";"F""move_past(trash_can)"" & F""grab(apple)""";Fap_0 & Fap_1
navi.jsonl;"['""got_to(house)""', '""get_near(flag)""']";whenever get_near flag or whenever got_to house;"F ( ""get_near(flag)"" ) | F ( ""got_to(house)"" )";"F""get_near(flag)"" | F""got_to(house)""";Fap_1 | Fap_0
navi.jsonl;"['""come(home)""', '""seize(orange)""']";whenever seize orange or at any time come home;"F ( ""seize(orange)"" ) | F ( ""come(home)"" )";"F""seize(orange)"" | F""come(home)""";Fap_1 | Fap_0
navi.jsonl;"['""let_go(pear)""', '""get_close(tree)""']";when possible get_close tree and don't let_go pear;"F ( ""get_close(tree)"" ) & ! ( ""let_go(pear)"" )";"!""let_go(pear)"" & F""get_close(tree)""";!ap_0 & Fap_1
navi.jsonl;"['""get_hold_of(pear)""']";get_hold_of pear or get_hold_of pear;"""get_hold_of(pear)"" | ""get_hold_of(pear)""";"""get_hold_of(pear)""";ap_0
navi.jsonl;"['""let_go(apple)""', '""touch(house)""']";when possible touch house and never let_go apple;"F ( ""touch(house)"" ) & G ( ! ( ""let_go(apple)"" ) )";"F""touch(house)"" & G!""let_go(apple)""";Fap_1 & G!ap_0
navi.jsonl;"['""walk_near(flag)""', '""go_visit(house)""']";at some time walk_near flag or when possible go_visit house;"F ( ""walk_near(flag)"" ) | F ( ""go_visit(house)"" )";"F""walk_near(flag)"" | F""go_visit(house)""";Fap_0 | Fap_1
navi.jsonl;"['""grasp(orange)""', '""put_in(apple_bucket)""']";put_in apple bucket or grasp orange;"""put_in(apple_bucket)"" | ""grasp(orange)""";"""grasp(orange)"" | ""put_in(apple_bucket)""";ap_0 | ap_1
navi.jsonl;"['""be_at(flag)""', '""pick_up(orange)""']";at any time be_at flag or pick_up orange;"F ( ""be_at(flag)"" ) | ""pick_up(orange)""";"""pick_up(orange)"" | F""be_at(flag)""";ap_1 | Fap_0
navi.jsonl;"['""advance_to(tree)""', '""have_in(orange)""']";advance_to tree or forever have_in orange;"""advance_to(tree)"" | G ( ""have_in(orange)"" )";"""advance_to(tree)"" | G""have_in(orange)""";ap_0 | Gap_1
navi.jsonl;"['""be_in(house\'s_vicinity)""', '""grab_hold(pear)""']";at any time be_in house's vicinity until grab_hold pear;"F ( ""be_in(house's_vicinity)"" ) U ""grab_hold(pear)""";"F""be_in(house's_vicinity)"" U ""grab_hold(pear)""";Fap_0 U ap_1
navi.jsonl;"['""move_past(trash_can)""', '""scoop_up(apple)""']";when possible move_past trash can or when possible scoop_up apple;"F ( ""move_past(trash_can)"" ) | F ( ""scoop_up(apple)"" )";"F""move_past(trash_can)"" | F""scoop_up(apple)""";Fap_0 | Fap_1
navi.jsonl;"['""proceed_to(house)""', '""go_past(house)""']";when possible go_past house and at some time proceed_to house;"F ( ""go_past(house)"" ) & F ( ""proceed_to(house)"" )";"F""go_past(house)"" & F""proceed_to(house)""";Fap_1 & Fap_0
navi.jsonl;"['""grasp(apple)""', '""go_to(flag)""']";when possible grasp apple or at any time go_to flag;"F ( ""grasp(apple)"" ) | F ( ""go_to(flag)"" )";"F""grasp(apple)"" | F""go_to(flag)""";Fap_0 | Fap_1
navi.jsonl;"['""be_at(house)""', '""go_to(peach)""']";whenever go_to peach or at any time be_at house;"F ( ""go_to(peach)"" ) | F ( ""be_at(house)"" )";"F""go_to(peach)"" | F""be_at(house)""";Fap_1 | Fap_0
navi.jsonl;"['""grab(flag)""', '""take_to(trashcan)""']";at any time grab flag or take_to trashcan;"F ( ""grab(flag)"" ) | ""take_to(trashcan)""";"""take_to(trashcan)"" | F""grab(flag)""";ap_1 | Fap_0
navi.jsonl;"['""move_to(house)""', '""acquire(apple)""']";move_to house or acquire apple;"""move_to(house)"" | ""acquire(apple)""";"""acquire(apple)"" | ""move_to(house)""";ap_1 | ap_0
navi.jsonl;"['""make_way(waste_basket)""', '""venture(flag)""']";when possible make_way waste basket or at some time venture flag;"F ( ""make_way(waste_basket)"" ) | F ( ""venture(flag)"" )";"F""make_way(waste_basket)"" | F""venture(flag)""";Fap_0 | Fap_1
navi.jsonl;"['""secure(apple)""', '""go_by(waste_basket)""']";when possible go_by waste basket or secure apple;"F ( ""go_by(waste_basket)"" ) | ""secure(apple)""";"""secure(apple)"" | F""go_by(waste_basket)""";ap_0 | Fap_1
navi.jsonl;"['""venture_to(flag)""', '""make_contact_with(house)""']";at any time make_contact_with house and when possible venture_to flag;"F ( ""make_contact_with(house)"" ) & F ( ""venture_to(flag)"" )";"F""make_contact_with(house)"" & F""venture_to(flag)""";Fap_1 & Fap_0
navi.jsonl;"['""bring(pear)""', '""secure(apple)""']";secure apple until at some time bring pear;"""secure(apple)"" U F ( ""bring(pear)"" )";"""secure(apple)"" U F""bring(pear)""";ap_1 U Fap_0
navi.jsonl;"['""lay_hold_of(apple)""', '""come_to(tree)""']";whenever lay_hold_of apple and come_to tree;"F ( ""lay_hold_of(apple)"" ) & ""come_to(tree)""";"""come_to(tree)"" & F""lay_hold_of(apple)""";ap_1 & Fap_0
navi.jsonl;"['""let_go(apple)""', '""acquire(orange)""']";acquire orange or never let_go apple;"""acquire(orange)"" | G ( ! ( ""let_go(apple)"" ) )";"""acquire(orange)"" | G!""let_go(apple)""";ap_1 | G!ap_0
navi.jsonl;"['""make_way(waste_basket)""', '""go_to(transh_can)""']";at any time make_way waste basket and when possible go_to transh can;"F ( ""make_way(waste_basket)"" ) & F ( ""go_to(transh_can)"" )";"F""make_way(waste_basket)"" & F""go_to(transh_can)""";Fap_0 & Fap_1
navi.jsonl;"['""collect(pear)""', '""hold(orange)""']";collect pear and hold orange;"""collect(pear)"" & ""hold(orange)""";"""collect(pear)"" & ""hold(orange)""";ap_0 & ap_1
navi.jsonl;"['""migrate_to(tree)""', '""have(pear)""']";when possible migrate_to tree or at some time have pear;"F ( ""migrate_to(tree)"" ) | F ( ""have(pear)"" )";"F""migrate_to(tree)"" | F""have(pear)""";Fap_0 | Fap_1
navi.jsonl;"['""drop(pear)""', '""get_near(flag)""']";drop pear or at any time get_near flag;"""drop(pear)"" | F ( ""get_near(flag)"" )";"""drop(pear)"" | F""get_near(flag)""";ap_0 | Fap_1
navi.jsonl;"['""travel_to(flag)""', '""acquire(apple)""']";acquire apple and at some time travel_to flag;"""acquire(apple)"" & F ( ""travel_to(flag)"" )";"""acquire(apple)"" & F""travel_to(flag)""";ap_1 & Fap_0
navi.jsonl;"['""move_to(trashcan)""', '""drop(orange)""']";move_to trashcan or never drop orange;"""move_to(trashcan)"" | G ( ! ( ""drop(orange)"" ) )";"""move_to(trashcan)"" | G!""drop(orange)""";ap_0 | G!ap_1
navi.jsonl;"['""visit(tree)""', '""venture_to(flag)""']";when possible venture_to flag and visit tree;"F ( ""venture_to(flag)"" ) & ""visit(tree)""";"""visit(tree)"" & F""venture_to(flag)""";ap_0 & Fap_1
navi.jsonl;"['""approach(trash_can)""', '""get_to(flag)""']";when approach trash can , at some time get_to flag;"""approach(trash_can)"" -> F ( ""get_to(flag)"" )";"""approach(trash_can)"" -> F""get_to(flag)""";ap_0 -> Fap_1
navi.jsonl;"['""go_visit(house)""', '""visit(flag)""']";whenever go_visit house or at any time visit flag;"F ( ""go_visit(house)"" ) | F ( ""visit(flag)"" )";"F""go_visit(house)"" | F""visit(flag)""";Fap_0 | Fap_1
navi.jsonl;"['""go_by(tree)""', '""take(apple)""']";take apple or when possible go_by tree;"""take(apple)"" | F ( ""go_by(tree)"" )";"""take(apple)"" | F""go_by(tree)""";ap_1 | Fap_0
navi.jsonl;"['""drop(orange)""', '""proceed_to(tree)""']";never drop orange means that when possible proceed_to tree;"G ( ! ( ""drop(orange)"" ) ) -> F ( ""proceed_to(tree)"" )";"G!""drop(orange)"" -> F""proceed_to(tree)""";G!ap_0 -> Fap_1
navi.jsonl;"['""be_at(flag)""', '""yield(pear)""']";at any time be_at flag or when possible yield pear;"F ( ""be_at(flag)"" ) | F ( ""yield(pear)"" )";"F""be_at(flag)"" | F""yield(pear)""";Fap_0 | Fap_1
navi.jsonl;"['""get(orange)""', '""touch(flag)""']";at any time get orange until forever touch flag;"F ( ""get(orange)"" ) U G ( ""touch(flag)"" )";"F""get(orange)"" U G""touch(flag)""";Fap_0 U Gap_1
navi.jsonl;"['""move_past(trash_can)""', '""capture(orange)""']";at some time move_past trash can or capture orange;"F ( ""move_past(trash_can)"" ) | ""capture(orange)""";"""capture(orange)"" | F""move_past(trash_can)""";ap_1 | Fap_0
navi.jsonl;"['""obtain(apple)""', '""haul(pear)""']";at any time haul pear and at some time obtain apple;"F ( ""haul(pear)"" ) & F ( ""obtain(apple)"" )";"F""haul(pear)"" & F""obtain(apple)""";Fap_1 & Fap_0
navi.jsonl;"['""collect(orange)""', '""acquire(pear)""']";at any time collect orange or at any time acquire pear;"F ( ""collect(orange)"" ) | F ( ""acquire(pear)"" )";"F""collect(orange)"" | F""acquire(pear)""";Fap_0 | Fap_1
navi.jsonl;"['""tax(apple)""', '""move_to(trash_can)""']";move_to trash can or at any time tax apple;"""move_to(trash_can)"" | F ( ""tax(apple)"" )";"""move_to(trash_can)"" | F""tax(apple)""";ap_1 | Fap_0
navi.jsonl;"['""make_to(flag)""', '""go_to(trashcan)""']";at any time go_to trashcan and at any time make_to flag;"F ( ""go_to(trashcan)"" ) & F ( ""make_to(flag)"" )";"F""go_to(trashcan)"" & F""make_to(flag)""";Fap_1 & Fap_0
navi.jsonl;"['""take_to(trash_can)""', '""acquire(apple)""']";if take_to trash can , acquire apple;"""take_to(trash_can)"" -> ""acquire(apple)""";"""take_to(trash_can)"" -> ""acquire(apple)""";ap_0 -> ap_1
navi.jsonl;"['""go_to(apple)""', '""touch(flag)""']";always touch flag and whenever go_to apple;"G ( ""touch(flag)"" ) & F ( ""go_to(apple)"" )";"G""touch(flag)"" & F""go_to(apple)""";Gap_1 & Fap_0
navi.jsonl;"['""spend_time_at(tree)""', '""go_near(house)""']";at any time go_near house or at some time spend_time_at tree;"F ( ""go_near(house)"" ) | F ( ""spend_time_at(tree)"" )";"F""go_near(house)"" | F""spend_time_at(tree)""";Fap_1 | Fap_0
navi.jsonl;"['""get_to(cup)""', '""acquire(apple)""']";whenever get_to cup until acquire apple;"F ( ""get_to(cup)"" ) U ""acquire(apple)""";"F""get_to(cup)"" U ""acquire(apple)""";Fap_0 U ap_1
navi.jsonl;"['""visit(tree)""', '""grasp(pear)""']";at some time grasp pear or visit tree;"F ( ""grasp(pear)"" ) | ""visit(tree)""";"""visit(tree)"" | F""grasp(pear)""";ap_0 | Fap_1
navi.jsonl;"['""go_to(apple)""', '""let_go(apple)""']";whenever go_to apple or whenever let_go apple;"F ( ""go_to(apple)"" ) | F ( ""let_go(apple)"" )";"F""go_to(apple)"" | F""let_go(apple)""";Fap_0 | Fap_1
navi.jsonl;"['""go_to(tree)""', '""advance_to(house)""']";when possible go_to tree until at some time advance_to house;"F ( ""go_to(tree)"" ) U F ( ""advance_to(house)"" )";"F""go_to(tree)"" U F""advance_to(house)""";Fap_0 U Fap_1
navi.jsonl;"['""go_to(house)""', '""get_close(tree)""']";when whenever get_close tree , when possible go_to house;"F ( ""get_close(tree)"" ) -> F ( ""go_to(house)"" )";"F""get_close(tree)"" -> F""go_to(house)""";Fap_1 -> Fap_0
navi.jsonl;"['""venture_to(waste_basket)""', '""acquire(apple)""']";when possible venture_to waste basket or acquire apple;"F ( ""venture_to(waste_basket)"" ) | ""acquire(apple)""";"""acquire(apple)"" | F""venture_to(waste_basket)""";ap_1 | Fap_0
navi.jsonl;"['""make_way_for(tree)""', '""going_to(house)""']";at some time make_way_for tree until whenever going_to house;"F ( ""make_way_for(tree)"" ) U F ( ""going_to(house)"" )";"F""make_way_for(tree)"" U F""going_to(house)""";Fap_0 U Fap_1
navi.jsonl;"['""spend_time_at(tree)""', '""stop_by(house)""']";when possible stop_by house or at any time spend_time_at tree;"F ( ""stop_by(house)"" ) | F ( ""spend_time_at(tree)"" )";"F""stop_by(house)"" | F""spend_time_at(tree)""";Fap_1 | Fap_0
navi.jsonl;"['""drop(apple)""', '""pass_by(waste_receptacle)""']";whenever pass_by waste receptacle or never drop apple;"F ( ""pass_by(waste_receptacle)"" ) | G ( ! ( ""drop(apple)"" ) )";"F""pass_by(waste_receptacle)"" | G!""drop(apple)""";Fap_1 | G!ap_0
navi.jsonl;"['""reach(tree)""', '""obtain(pear)""']";when possible reach tree and when possible obtain pear;"F ( ""reach(tree)"" ) & F ( ""obtain(pear)"" )";"F""reach(tree)"" & F""obtain(pear)""";Fap_0 & Fap_1
