Index,Requirement,Ground Truth,Response
298,"first, at some point the train is crossing or an elevator rises, and then, at some point the engine starts and a constructor creates instances",G!(elevator_rises | train_is_crossing) | F((elevator_rises | train_is_crossing) & F(constructor_creates_instances & engine_starts)),F((train_is_crossing | elevator_rises) & F(engine_starts & constructor_creates_instances))
300,( prop_1 ) until when possible ( prop_2 ),prop_1 U F prop_2,prop_1 U prop_2
302,"when whenever ( prop_1 ) , when possible ( prop_2 )",F prop_1 -> F prop_2,G(prop_1 -> F prop_2)
303,never ( prop_1 ) or ( prop_2 ),G(!prop_1 | prop_2),G(!(prop_1 | prop_2))
304,"first, at some point in time the constructor creates instances and a motorbike has stopped, and then, sooner or later the bridge closes",G!(constructor_creates_instances & motorbike_has_stopped) | F(constructor_creates_instances & motorbike_has_stopped & F bridge_closes),F((constructor_creates_instances & motorbike_has_stopped) & F(bridge_closes))
305,never let_go orange or at any time arrive_at tree,G!let_go_orange | F arrive_at_tree,G(!let_go_orange) & G(!arrive_at_tree)
306,"If at all times (prop_1), then whenever you do (prop_2), you should do (prop_3) .",G prop_1 -> (prop_2 -> prop_3),G(prop_1) -> G(prop_2 -> prop_3)
307,whenever ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2),G((prop_1 | prop_2) -> (prop_1 | prop_2))
309,"As long as (prop_1) is always true, then either (prop_3) or (prop_2) can happen .",G prop_1 -> (prop_2 | prop_3),G(prop_1 -> F(prop_2 | prop_3))
310,if the motorbike catches fire and the bar has to be repaired then it will happen that either the elevator is blocked or the constructor creates instances,G((bar_has_to_be_repaired & motorbike_catches_fire) -> F(constructor_creates_instances | elevator_is_blocked)),(motorbike_catches_fire & bar_has_to_be_repaired) -> F(elevator_is_blocked | constructor_creates_instances)
312,"Globally , during the interval that ( prop_3 ) , or ( prop_2 ) then the following condition holds : ( prop_1 ) , and without any delay ( prop_4 ) .",G((prop_2 | prop_3) -> (prop_1 & prop_4)),G((prop_3 | prop_2) -> (prop_1 & X prop_4))
313,"at a certain moment the elevator rises and the bar is closing and, at some point an elevator rises or the car stops afterwards",G!(bar_is_closing & elevator_rises) | F(bar_is_closing & elevator_rises & F(car_stops | elevator_rises)),F(elevator_rises & bar_is_closing) & F(elevator_rises | F car_stops)
317,never ( prop_1 ) or at some time ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1) | F(prop_2)
318,"Hand over the zebra to the loading_dock should always hold, with at most a two-step grace period for recovery.",!G!(deliver_zebra_loading_dock & X deliver_zebra_loading_dock),G(F(deliver_zebra_loading_dock & (X(deliver_zebra_loading_dock | X deliver_zebra_loading_dock))))
320,at any time both a motorbike has started and the semaphore is green,G(motorbike_has_started & semaphore_is_green),F(motorbike_has_started & semaphore_is_green)
321,"If it is not the case that (prop_3), then it must be equal to the case that (prop_1) is equivalent to (prop_2) .",!prop_3 <-> (prop_1 <-> prop_2),(!prop_3) -> (prop_1 <-> prop_2)
322,"The scenario that ( prop_2 ) or ( prop_3 ) or ( prop_1 ) should happen until at some point in the future , and then at some point after that , ( prop_4 ) should happen .",(prop_1 | prop_2 | prop_3) U prop_4,((prop_2 | prop_3 | prop_1) U F prop_4)
323,at any time ( prop_1 ) and do not ( prop_2 ),F(prop_1 & !F prop_2),G(prop_1 & !prop_2)
324,"when ( prop_1 ) , never ( prop_2 )",prop_1 -> G!prop_2,G(prop_1 -> !prop_2)
325,"finally, the sensor gathers information and, it will happen that either the engine starts or the elevator falls afterwards",G!sensor_gathers_information | F(sensor_gathers_information & F(elevator_falls | engine_starts)),F(sensor_gathers_information & F(engine_starts | F elevator_falls))
327,"In case that ( prop_1 ) or the scenario that ( prop_3 ) happens then the following condition holds : there must exist sometime in the future before the execution ends ultimately , after which ( prop_2 ) .",G((prop_1 | prop_3) -> FG prop_2),(prop_1 | prop_3) -> F G prop_2
329,repeatedly ( prop_1 ) or don't ( prop_2 ),G(!prop_2 | F prop_1),GF(prop_1) | !GF(prop_2)
332,whenever ( prop_1 ) can infer that never ( prop_2 ),F prop_1 -> G!prop_2,G(prop_1 -> G(!prop_2))
335,repeatedly go_to waste basket until hold orange,GF go_to_waste_basket U hold_orange,G(!hold_orange -> X(go_to_waste_basket))
340,"If ( prop_4 ) and ( prop_1 ) happens and continues to happen until at some other point ( prop_3 ) is detected , then the scenario is equivalent to ( prop_2 ) .",prop_2 <-> ((prop_1 & prop_4) U prop_3),G((prop_4 & prop_1) & (prop_1 U prop_3) -> prop_2)
344,"Globally , in case that the scenario that ( prop_1 ) occurs , then there has to exist a certain time instant in the future before the end of the simulation , at which the event that ( prop_3 ) shall be finally detected , and until then ( prop_2 ) .",G(prop_1 -> (prop_3 U prop_2)),G(prop_1 -> (prop_2 U prop_3))
345,"if when possible ( prop_1 ) , whenever ( prop_2 )",F prop_1 -> F prop_2,G(prop_2 -> F prop_1)
350,a motorbike catches fire involves that always when the engine starts then at some point the semaphore is green,G(motorbike_catches_fire -> G(engine_starts -> F semaphore_is_green)),G(engine_starts -> F semaphore_is_green)
353,"If ( prop_2 ) then ( prop_3 ) happens , or else ( prop_1 ) happens and continues until ( prop_4 ) happens .",(prop_2 -> prop_3) | (prop_1 U prop_4),(prop_2 -> F prop_3) | (!prop_2 & (prop_1 U prop_4))
355,( prop_1 ) and whenever ( prop_2 ),prop_1 & F prop_2,prop_1 & G(prop_2 -> prop_2)
359,"the bar has to be repaired involves that every time the semaphore is green then eventually, the table is brown",G(bar_has_to_be_repaired -> G(semaphore_is_green -> F table_is_brown)),bar_has_to_be_repaired -> G(semaphore_is_green -> F table_is_brown)
361,You must eventually photo safe_civilian and deliver_aid the safe_hostile.,F(deliver_aid_safe_hostile & photo_safe_civilian),F(photo_safe_civilian & F(deliver_aid_safe_hostile)) | F(deliver_aid_safe_hostile & F(photo_safe_civilian))
362,"If record unsafe_rescuer holds, then in the next step photo unsafe_person persists until delivering aid to the injured_rescuer holds, or else photo unsafe_person holds forever.",record_unsafe_rescuer -> X((photo_unsafe_person U deliver_aid_injured_rescuer) | G photo_unsafe_person),G(record_unsafe_rescuer -> (X(photo_unsafe_person U deliver_aid_injured_rescuer) | G(X(photo_unsafe_person))))
366,whenever steal apple means that at any time stop_by trash can,F steal_apple -> F stop_by_trash_can,G(steal_apple -> F stop_by_trash_can)
367,whenever either the elevator is open or the bar is closing then it is never the case that the house is open and a semaphore is green,G((bar_is_closing | elevator_is_open) -> G!(house_is_open & semaphore_is_green)),G((elevator_is_open | bar_is_closing) -> !(house_is_open & semaphore_is_green))
371,forever ( prop_1 ) can infer that ( prop_2 ),G prop_1 -> prop_2,G(prop_1 -> prop_2)
372,repeatedly go_to apple trashcan and snatch_up pear,snatch_up_pear & GF go_to_apple_trashcan,GF(go_to_apple_trashcan & F snatch_up_pear)
373,"Ensure you repeatedly move crate_4 from warehouse_3 to store_9, and also periodically revisit charger_3",GF(warehouse_3 & F(p_crate_4 & F(pd & store_9))) & GF charger_3,GF(warehouse_3 & p_crate_4 & store_9) & GF(charger_3)
375,"the semaphore is red involves that eventually, the sensor captures data after a sensor retrieves data",G(semaphore_is_red -> G(sensor_retrieves_data -> F sensor_captures_data)),G(semaphore_is_red -> F(sensor_retrieves_data U sensor_captures_data))
376,"If either (prop_2) or (prop_1), then (prop_3) is not the case, and vice versa .",!prop_3 <-> (prop_1 | prop_2),G(((prop_1 | prop_2) -> !prop_3) & (!prop_3 -> (prop_1 | prop_2)))
377,Finally make (prop_1) happen and (prop_3) and (prop_2) should hold at the same time .,prop_2 & prop_3 & F prop_1,F(prop_1 & prop_2 & prop_3)
378,"first, it will happen that a sensor retrieves data or a train has been launched, and then, at some point in time a bridge closes",G!(sensor_retrieves_data | train_has_been_launched) | F((sensor_retrieves_data | train_has_been_launched) & F bridge_closes),F((sensor_retrieves_data | train_has_been_launched) & F bridge_closes)
381,"The scenario in which either ( prop_4 ) is equivalent to ( prop_3 ), and ( prop_1 ) should always be true , until the scenario in which ( prop_2 ) .",(prop_1 & (prop_3 <-> prop_4)) U prop_2,((prop_4 <-> prop_3) & G prop_1) U prop_2
383,"Once (prop_2), (prop_1).",prop_2 -> prop_1,F(prop_2 & F prop_1)
384,"finally, the semaphore is yellow after both the escalator moves and a motorbike has stopped",G((escalator_moves & motorbike_has_stopped) -> F semaphore_is_yellow),F((escalator_moves & motorbike_has_stopped) -> F semaphore_is_yellow)
385,"Do not do (prop_2), and if you do (prop_1) then you should do (prop_3) .",!prop_2 & (prop_1 -> prop_3),G(!prop_2 & (prop_1 -> F prop_3))
386,"For all time (prop_1), is equivalent to the scenario in which (prop_3) or (prop_2) .",(prop_2 | prop_3) <-> G prop_1,G(prop_1 <-> (prop_3 | prop_2))
387,"Apart from you keep observing (prop_1), if (prop_2) occurs then you should do (prop_3) .",(prop_2 -> prop_3) & G prop_1,G(prop_1 & (prop_2 -> prop_3))
390,"If either (prop_1) or (prop_2) happens, then (prop_3) should not happen.",(prop_1 | prop_2) -> !prop_3,G((prop_1 | prop_2) -> !prop_3)
391,"Whenever neither deliver the bicycle to the shelf nor get_help holds, search the apple eventually holds.",G(!(deliver_bicycle_shelf & get_help) -> F search_apple),G(!(deliver_bicycle_shelf | get_help) -> F search_apple)
393,"If it is globally the case that whenever ( prop_2 ) is detected then as a result ( prop_1 ) should happen , then ( prop_3 ) .",G(prop_2 -> prop_1) -> prop_3,(G(prop_2 -> F prop_1)) -> prop_3
395,at any time bring pear until secure apple,F bring_pear U secure_apple,G(bring_pear U secure_apple)
396,You need to wait until (prop_1) before (prop_2).,!prop_1 U prop_2,(!prop_2) U prop_1
399,"Whenever neither idle nor search the dining_table holds, get_help eventually holds.",G(!(idle & search_dining_table) -> F get_help),G(!idle & !search_dining_table -> F get_help)
400,"forever, the semaphore is yellow after a manager handles requests or a motorbike has started",G((manager_handles_requests | motorbike_has_started) -> G semaphore_is_yellow),G((manager_handles_requests | motorbike_has_started) -> X semaphore_is_yellow)
402,"in the future a car enters and a table is brown and, eventually, either the bar is closing or the motorbike has stopped afterwards",G!(car_enters & table_is_brown) | F(car_enters & table_is_brown & F(bar_is_closing | motorbike_has_stopped)),F(car_enters & table_is_brown & F(bar_is_closing | X motorbike_has_stopped))
403,"when go_by waste bin , at any time reach flag",go_by_waste_bin -> F reach_flag,G(go_by_waste_bin -> F reach_flag)
406,Continuously eventually visit charging_station_9 as you keep taking crate_4 from warehouse_5 to mall_4,GF charging_station_9 & GF(warehouse_5 & F(p_crate_4 & F(mall_4 & pd))),G(F(charging_station_9)) & G(F(p_crate_4 & warehouse_5 & F(p_crate_4 & mall_4)))
408,never ( prop_1 ) or when possible ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1) | GF(prop_2)
409,"(prop_2), then (prop_1).",prop_2 U prop_1,F(prop_2 & F prop_1)
413,For all time (prop_1) happens is equivalent to the scenario in which (prop_3) implies (prop_2) .,(prop_3 -> prop_2) <-> G prop_1,G(prop_1) <-> G(prop_3 -> prop_2)
414,"at a certain moment a bridge closes and the elevator falls and, at some point in time the engine stops and the brake is pressed afterwards",G!(bridge_closes & elevator_falls) | F(bridge_closes & elevator_falls & F(brake_is_pressed & engine_stops)),F(bridge_closes & elevator_falls) & F(engine_stops & F brake_is_pressed)
416,"In the event that ( prop_4 ) or ( prop_1 ) then all of the following conditions are true : promptly ( prop_2 ) , or instantly the transition action that ( prop_3 ) does n't happen .",G((prop_1 | prop_4) -> (prop_2 | prop_3)),G((prop_4 | prop_1) -> (X prop_2 | !prop_3))
417,"If photo debris holds, then in the next step deliver_aid the safe_hostile persists until get_help holds, or else deliver_aid the safe_hostile holds forever.",photo_debris -> X((deliver_aid_safe_hostile U get_help) | G deliver_aid_safe_hostile),G(photo_debris -> (X(deliver_aid_safe_hostile U get_help) | G deliver_aid_safe_hostile))
419,"Once record fire_source has occurred, deliver_aid the safe_rescuer will never occur again.",G(record_fire_source -> XG!deliver_aid_safe_rescuer),G(record_fire_source -> G(!deliver_aid_safe_rescuer))
420,repeatedly ( prop_1 ) or at some time ( prop_2 ),G(F prop_1 | F prop_2),GF(prop_1) | F(prop_2)
421,"If (prop_1), then (prop_2), and keep this until (prop_3) is not true .",(prop_1 -> prop_2) U !prop_3,G(prop_1 -> (prop_2 U !prop_3))
426,"Until ( prop_2 ) and ( prop_1 ) happen at the same time , keep ( prop_3 ) not happening .",!prop_2 U (prop_1 & prop_3),(!prop_3) U (prop_1 & prop_2)
429,at some time go_by waste basket until never drop apple,F go_by_waste_basket U G!drop_apple,F(go_by_waste_basket U !drop_apple)
430,at any time ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2),G(prop_1) & F(prop_2)
435,"first, in the future a train has arrived, and then, it will happen that the sensor retrieves data or the engine starts",G!train_has_arrived | F(train_has_arrived & F(engine_starts | sensor_retrieves_data)),F(train_has_arrived & F(sensor_retrieves_data | engine_starts))
436,"Any of the following should happen: (prop_3) or (prop_1), or keep (prop_2) all the time .",prop_1 | prop_3 | G prop_2,F(prop_3 | prop_1) | G(prop_2)
437,put_in apple bucket and at any time have_possession_of apple,put_in_apple_bucket & F have_possession_of_apple,put_in_apple_bucket & G(have_possession_of_apple)
439,it will not happen that both a constructor instantiate objects and the escalator speeds up after both a sensor captures data and the brake is released,G((brake_is_released & sensor_captures_data) -> G!(constructor_instantiate_objects & escalator_speeds_up)),!(constructor_instantiate_objects & F((sensor_captures_data & brake_is_released) & X escalator_speeds_up))
440,"If photo safe_victim holds, then in the next step deliver_aid the injured_hostile persists until talking to the safe_rescuer holds, or else deliver_aid the injured_hostile holds forever.",photo_safe_victim -> X((deliver_aid_injured_hostile U communicate_safe_rescuer) | G deliver_aid_injured_hostile),G(photo_safe_victim -> (X(deliver_aid_injured_hostile U communicate_safe_rescuer) | G(deliver_aid_injured_hostile)))
442,"It is required that (prop_1) and (prop_2) both happen, and that (prop_4) is equivalent to (prop_3) .",prop_1 & prop_2 & (prop_3 <-> prop_4),F(prop_1) & F(prop_2) & G(prop_4 <-> prop_3)
443,"it is going to happen that a bridge closes and, in the future either a semaphore is green or the bar is up afterwards",G!bridge_closes | F(bridge_closes & F(bar_is_up | semaphore_is_green)),F(bridge_closes & F(semaphore_is_green | F bar_is_up))
444,"If (prop_2) happens at some point, then (prop_3) should be equivalent to (prop_1) .",F prop_2 -> (prop_1 <-> prop_3),F(prop_2) -> G(prop_3 <-> prop_1)
447,when possible have pear or repeatedly go_to apple trashcan,F have_pear | GF go_to_apple_trashcan,GF(have_pear | go_to_apple_trashcan)
448,don't ( prop_1 ) means that at some time ( prop_2 ),!F prop_1 -> F prop_2,!prop_1 -> F prop_2
449,"If at some point ( prop_2 ) or ( prop_4 ) happens and continues to happen until ( prop_3 ) is detected , or else ( prop_1 ) .",prop_1 | ((prop_2 | prop_4) U prop_3),F((prop_2 | prop_4) U prop_3) | prop_1
453,"Globally , whenever ( prop_1 ) or ( prop_3 ) , then all of the following conditions are true : ( prop_2 ) .",G((prop_1 | prop_3) -> G prop_2),G((prop_1 | prop_3) -> prop_2)
456,"It is required that at some point the scenario in which ( prop_1 ) happens is equivalent to the scenario in which ( prop_3 ) happens , or else ( prop_2 ) does not happen .",!prop_2 | (prop_3 <-> F prop_1),F((prop_1 <-> prop_3) | !prop_2)
459,Stay in park 5 until you reach bench 4 as you take bottle 5 from store 2 and deliver it to bench 4,(park_5 U bench_4) & F(store_2 & F(p_bottle_5 & F(bench_4 & pd))),(park_5 U bench_4) & F(store_2 & p_bottle_5 & F(bench_4 & pd))
460,"If (prop_1) and (prop_3) are both true, then (prop_4) and (prop_2) should be true as well, and vice versa .",(prop_1 & prop_3) <-> (prop_2 & prop_4),G((prop_1 & prop_3) <-> (prop_4 & prop_2))
462,"after the motorbike falls down and the engine starts, it is never the case that both the constructor instantiate objects and the escalator speeds up",G((engine_starts & motorbike_falls_down) -> G!(constructor_instantiate_objects & escalator_speeds_up)),F(motorbike_falls_down & engine_starts) -> G(!(constructor_instantiate_objects & escalator_speeds_up))
463,"Avoid going to building 3 until you reach street 6, and then transport box 8 from store 3 to house 2",(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd))),(!building_3 U street_6) & F(store_3 & p_box_8 & F(house_2 & p_box_8))
465,"At some point in the future , it should be the case that if ( prop_1 ) then ( prop_2 ) and ( prop_3 ) .",F(prop_3 & (prop_1 -> prop_2)),F(prop_1 -> (prop_2 & prop_3))
466,Go to statue 5 to take a picture,F(photo & statue_5),F(statue_5 & F photo)
468,"first, finally, either the escalator speeds up or a house collapses, and then, finally, a train has arrived",G!(escalator_speeds_up | house_collapses) | F((escalator_speeds_up | house_collapses) & F train_has_arrived),F((escalator_speeds_up | house_collapses) & F train_has_arrived)
471,"During the interval that ( prop_3 ) , or ( prop_2 ) , then the following condition holds : eventually after a certain time point in the future , ( prop_1 ) .",G((prop_2 | prop_3) -> FG prop_1),G((prop_3 | prop_2) -> F prop_1)
472,always stay or get_to tree,get_to_tree | G stay,G(stay | get_to_tree)
476,"Avoid entering office 4 until you pick up pass 6, and ensure you go to house 5, collect pass 6, and then deliver it to office 4",(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd))),(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F office_4))
477,(prop_2) does not happen and make sure (prop_1) and (prop_3) both hold .,prop_1 & !prop_2 & prop_3,G(!prop_2 & prop_1 & prop_3)
479,"first, it will happen that a sensor gathers information, and then, it will happen that an elevator is open or the train derails",G!sensor_gathers_information | F(sensor_gathers_information & F(elevator_is_open | train_derails)),F(sensor_gathers_information & F(elevator_is_open | train_derails))
484,"Ensure that (prop_2) is always true, and if (prop_3), then make sure (prop_1) happens .",(prop_3 -> prop_1) & G prop_2,G(prop_2) & G(prop_3 -> F prop_1)
485,whenever go_to trashcan and when possible get_near flag,F go_to_trashcan & F get_near_flag,G(go_to_trashcan & F get_near_flag)
487,repeatedly go_to apple trashcan or don't let_go orange,!let_go_orange | GF go_to_apple_trashcan,GF(go_to_apple_trashcan) | G(!let_go_orange)
488,"It is always the case that in case that the event that ( prop_3 ) takes place , then the following condition is true : there will have to be sometime in the future before the end of the simulation , at which ( prop_1 ) , till then consistently ( prop_2 ) .",G(prop_3 -> (prop_1 U prop_2)),G(prop_3 -> (prop_2 U prop_1))
489,at any time spend_time_at tree until never drop orange,F spend_time_at_tree U G!drop_orange,G(spend_time_at_tree U !drop_orange)
490,Make sure that doing (prop_2) or (prop_1) is always equivalent to always doing (prop_3) .,(prop_1 | prop_2) <-> G prop_3,G((prop_2 | prop_1) <-> G prop_3)
492,take_to trash can and pick_up pear,pick_up_pear & take_to_trash_can,F(take_to_trash_can & F pick_up_pear)
497,Switch light_south red can only happen after change light_west red.,!change_light_south_red U change_light_west_red,G(!change_light_south_red U change_light_west_red)
499,whenever either the bar is up or the sensor retrieves data then under no circumstances both a bridge opens and an elevator is blocked,G((bar_is_up | sensor_retrieves_data) -> G!(bridge_opens & elevator_is_blocked)),G((bar_is_up | sensor_retrieves_data) -> !(bridge_opens & elevator_is_blocked))
500,Continuously transport crate 1 from storage 4 to office 2,GF(storage_4 & F(p_crate_1 & F(office_2 & pd))),G(F(pd & storage_4 & p_crate_1) & F(pd & office_2 & p_crate_1))
502,in the future a train has arrived after both a motorbike has stopped and the constructor creates instances,G((constructor_creates_instances & motorbike_has_stopped) -> F train_has_arrived),F((motorbike_has_stopped & constructor_creates_instances) -> F train_has_arrived)
503,when possible clutch orange until grab_hold pear,F clutch_orange U grab_hold_pear,F(clutch_orange U grab_hold_pear)
504,"Globally , if ( prop_1 ) , then the following condition is true : for each moment in the future before the simulation ends , ( prop_2 ) .",G(prop_1 -> GF prop_2),G(prop_1 -> G prop_2)
506,"If eventually (prop_3) happens, then either (prop_1) or (prop_2) should happen before it.",F prop_3 -> (prop_1 | prop_2),F prop_3 -> (prop_1 | prop_2) U prop_3
509,"On condition that the scenario that ( prop_2 ) gets observed and the scenario that ( prop_1 ) is observed , then in response at once ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3),G((prop_1 & prop_2) -> X prop_3)
511,"Take bottle 2 from kitchen 1 and go to hall 2, ensuring you stay there forever",F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(hall_2 & G hall_2))
514,"Globally , whenever the event that ( prop_2 ) is observed then the following condition holds : the transition action that ( prop_1 ) has to be observed promptly or ( prop_3 ) .",G(prop_2 -> (prop_1 | prop_3)),G(prop_2 -> (X prop_1 | prop_3))
515,"Do not enter office 4 until you have picked up pass 6, and ensure that you eventually go to house 5, retrieve pass 6, and subsequently deliver it to office 4",(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd))),(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F office_4))
517,"when ( prop_1 ) , when possible ( prop_2 )",prop_1 -> F prop_2,G(prop_1 -> F prop_2)
518,Take box_8 from house_3 and move it to office_2,F(house_3 & F(p_box_8 & F(office_2 & pd))),F(p_box_8 & house_3 & pd) & F(p_box_8 & office_2 & pd)
519,whenever ( prop_1 ) or forever ( prop_2 ),F(prop_1 | G prop_2),G(prop_1) | G(prop_2)
521,move_to tree and gather orange,gather_orange & move_to_tree,F(move_to_tree & F gather_orange)
523,"if when possible ( prop_1 ) , ( prop_2 )",F prop_1 -> prop_2,G(prop_1 -> F prop_2)
525,repeatedly ( prop_1 ) or at some time ( prop_2 ),G(F prop_1 | F prop_2),GF(prop_1) | F(prop_2)
528,"Globally , in case that the scenario that ( prop_1 ) occurs , then there has to exist a certain time instant in the future before the end of the simulation , at which the event that ( prop_3 ) shall be finally detected , and until then ( prop_2 ) .",G(prop_1 -> (prop_3 U prop_2)),G(prop_1 -> (prop_2 U prop_3))
531,"Globally , whenever ( prop_3 ) , or ( prop_2 ) then all of the following conditions are true : for each moment in the future before the end of the execution ( prop_1 ) .",G((prop_2 | prop_3) -> GF prop_1),G((prop_3 | prop_2) -> G prop_1)
535,"Whenever neither get_help nor record safe_rescuer holds, photo flood eventually holds.",G(!(get_help & record_safe_rescuer) -> F photo_flood),G(!get_help & !record_safe_rescuer -> F photo_flood)
536,"Globally , while ( prop_1 ) , and ( prop_3 ) then the following condition shall not be true : ( prop_2 ) .",G((prop_1 & prop_3) -> !F prop_2),G((prop_1 & prop_3) -> !prop_2)
539,never drop orange and grip apple,grip_apple & G!drop_orange,G(!(drop_orange & grip_apple))
540,"It is always the case that if ( prop_1 ) , or ( prop_2 ) then the following condition holds : there will be a certain moment in the future before the end of the simulation , at which the transition action that ( prop_4 ) ought not to get observed , and before this ( prop_3 ) .",G((prop_1 | prop_2) -> (prop_4 U prop_3)),G((prop_1 | prop_2) -> (prop_3 U !prop_4))
543,"at some point in time both the bar has to be repaired and a sensor retrieves data and, at a certain moment either the elevator falls or the brake is pressed afterwards",G!(bar_has_to_be_repaired & sensor_retrieves_data) | F(bar_has_to_be_repaired & sensor_retrieves_data & F(brake_is_pressed | elevator_falls)),F(bar_has_to_be_repaired & sensor_retrieves_data) & F(elevator_falls | F brake_is_pressed)
544,If it is not the case that ( prop_3 ) happens in response to ( prop_1 ) then implies ( prop_2 ) .,!(prop_3 -> prop_1) -> prop_2,!(G(prop_1 -> F prop_3)) -> prop_2
545,forever ( prop_1 ) or ( prop_2 ),G(prop_1 | prop_2),G(prop_1) | prop_2
546,grab_hold pear can infer that don't let_go orange,grab_hold_pear -> !let_go_orange,G(grab_hold_pear -> !let_go_orange)
547,"It is always the case that ( prop_3 ) and ( prop_2 ) , and ( prop_1 ) .",prop_1 & G(prop_2 & prop_3),G(prop_3 & prop_2 & prop_1)
548,"when hold pear , at some time arrive_at tree",hold_pear -> F arrive_at_tree,G(hold_pear -> F arrive_at_tree)
551,never let_go until do not let_go pear,G!let_go U !let_go_pear,(!let_go) U (!let_go_pear)
552,"all the time the bridge closes, the train has been launched and the escalator moves",G(bridge_closes & escalator_moves & train_has_been_launched),G(bridge_closes -> (train_has_been_launched & escalator_moves))
555,whenever ( prop_1 ) until don't ( prop_2 ),F(prop_1 U !F prop_2),G(prop_1 U !prop_2)
560,The scenario in which (prop_1) does not happen is equivalent to the scenario in which (prop_3) happens until (prop_2) happens .,!prop_1 <-> (prop_3 U prop_2),(!F prop_1) <-> (prop_3 U prop_2)
562,Ensure you keep photographing area 4 and regularly take pictures of area 3,GF(area_4 & photo) & GF(area_3 & photo),G(photo & area_4) & GF(photo & area_3)
563,"In this task, communicate the safe_hostile, then avoid the active_flood.",communicate_safe_hostile U avoid_active_flood,F(communicate_safe_hostile & F(avoid_active_flood))
564,"In case that ( prop_2 ) , or ( prop_1 ) then in response the condition that ( prop_3 ) is n't true .",G((prop_1 | prop_2) -> !G prop_3),G((prop_2 | prop_1) -> !prop_3)
565,"( prop_1 ) should be equivalent to ( prop_2 ), and ( prop_3 ) should not happen .",!prop_3 & (prop_1 <-> prop_2),G(prop_1 <-> prop_2) & G(!prop_3)
566,"Once (prop_1), (prop_2).",prop_1 -> prop_2,F(prop_1 & prop_2)
567,For all time (prop_1) is true is equivalent to the scenario in which (prop_3) happens and then (prop_2) happens .,(prop_3 -> prop_2) <-> G prop_1,G prop_1 <-> (prop_3 & F prop_2)
572,the elevator rises implies that every time the elevator falls then at some point the bar has to be repaired,G(elevator_rises -> G(elevator_falls -> F bar_has_to_be_repaired)),elevator_rises -> G(elevator_falls -> F bar_has_to_be_repaired)
573,The scenario in which (prop_2) happens and continues until (prop_1) happens is equivalent to the scenario in which (prop_3) happens and then (prop_4) happens .,(prop_3 -> prop_4) <-> (prop_2 U prop_1),(prop_2 U prop_1) <-> (prop_3 & F prop_4)
574,at any time go_to tree can infer that reach trash can,F go_to_tree -> reach_trash_can,G(go_to_tree -> F reach_trash_can)
576,Stay within county 4 while repeatedly taking package 4 from office 3 to office 8,G county_4 & GF(office_3 & F(p_package_4 & F(office_8 & pd))),G(county_4) & G(F(p_package_4 & office_3 & F(p_package_4 & office_8)))
579,at some time get pear and forever touch flag,F get_pear & G touch_flag,F(get_pear & FG touch_flag)
580,all the time a semaphore is yellow after both a train has been launched and the bar is closing,G((bar_is_closing & train_has_been_launched) -> G semaphore_is_yellow),G((train_has_been_launched & bar_is_closing) -> semaphore_is_yellow)
581,whenever go_near flag and whenever go_near pear,F go_near_flag & F go_near_pear,G(go_near_flag & go_near_pear)
583,"If (prop_2) or (prop_1), then it should be the case that if (prop_4), then (prop_3), and vice versa .",(prop_4 -> prop_3) <-> (prop_1 | prop_2),(prop_2 | prop_1) -> (prop_4 <-> prop_3)
584,"At some point ( prop_1 ) or ( prop_2 ) , and ( prop_3 ) .",prop_3 & (prop_1 | prop_2),F((prop_1 | prop_2) & prop_3)
588,"Until (prop_3) and (prop_2) happen at the same time, keep (prop_1) not happening .",!prop_3 U (prop_1 & prop_2),(!prop_1) U (prop_2 & prop_3)
591,whenever proceed_to flag until when possible visit flag,F proceed_to_flag U F visit_flag,G(proceed_to_flag -> (proceed_to_flag U visit_flag))
592,"If (prop_2) does not happen, then either (prop_1) or (prop_3) should happen.",!prop_2 -> (prop_1 | prop_3),(!F prop_2) -> (F prop_1 | F prop_3)
593,"It is always the case that everytime when ( prop_3 ) , and ( prop_2 ) , then in response there will finally exist sometime in the future before the end of the execution , at which uninterruptedly ( prop_1 ) .",G((prop_2 & prop_3) -> FG prop_1),G((prop_3 & prop_2) -> F prop_1)
600,"For all time, (prop_2) is true, and at the same time, either (prop_1) or (prop_3) is true .",(prop_1 | prop_3) & G prop_2,G(prop_2 & (prop_1 | prop_3))
603,"It is always the case that if ( prop_1 ) , then the following condition is true : eventually there exists a certain moment in the future before the execution ends , at which consecutively the scenario that ( prop_2 ) must never be observed within 36 to 77 time units .",G(prop_1 -> FG prop_2),G(prop_1 -> F(!prop_2))
