Requirement,Ground Truth,Response
{'if the table is old or the train has arrived then in the future both the engine stops and the manager collect claims'},G((table_is_old | train_has_arrived) -> F(engine_stops & manager_collect_claims)),(table_is_old | train_has_arrived) -> F(engine_stops & manager_collect_claims)
"{'as both a train derails and the brake is released, at some point both an elevator is blocked and the motorbike has stopped'}",G((brake_is_released & train_derails) -> F(elevator_is_blocked & motorbike_has_stopped)),(train_derails & brake_is_released) -> F(elevator_is_blocked & motorbike_has_stopped)
"{'it will happen that either the sensor captures data or the sensor gathers information and, it will happen that a table is brown and a house is built afterwards'}",G!(sensor_captures_data | sensor_gathers_information) | F((sensor_captures_data | sensor_gathers_information) & F(house_is_built & table_is_brown)),F(sensor_captures_data | sensor_gathers_information) & F(table_is_brown & X house_is_built)
{'( prop_1 ) and at any time ( prop_2 )'},prop_1 & Fprop_2,prop_1 & G prop_2
"{'after both a manager collect claims and the house is built, at a certain moment the engine breaks and the train has arrived'}",G((house_is_built & manager_collect_claims) -> F(engine_breaks & train_has_arrived)),F((manager_collect_claims & house_is_built) & F(engine_breaks & train_has_arrived))
"{'Whenever the scenario that ( prop_1 ) is observed , then all of the following conditions hold : ( prop_2 ) or the scenario that ( prop_3 ) is observed right away .'}",G(prop_1 -> (prop_2 | prop_3)),G(prop_1 -> (prop_2 | X prop_3))
{'in the future both a motorbike has stopped and the constructor creates instances after either the table is old or the sensor retrieves data'},G((sensor_retrieves_data | table_is_old) -> F(constructor_creates_instances & motorbike_has_stopped)),F(motorbike_has_stopped & ((table_is_old | sensor_retrieves_data) -> constructor_creates_instances))
{'when possible ( prop_1 ) means that whenever ( prop_2 )'},Fprop_1 -> Fprop_2,G(prop_1 -> prop_2)
"{'after an elevator is open and the motorbike falls down, it is going to happen that the semaphore is red or the car stops'}",G((elevator_is_open & motorbike_falls_down) -> F(car_stops | semaphore_is_red)),F((elevator_is_open & motorbike_falls_down) -> F(semaphore_is_red | car_stops))
{'at any time ( prop_1 ) or ( prop_2 )'},F(prop_1 | prop_2),G(prop_1 | prop_2)
"{'if the table is old or the brake is pressed then finally, both a semaphore is yellow and the engine starts'}",G((brake_is_pressed | table_is_old) -> F(engine_starts & semaphore_is_yellow)),(table_is_old | brake_is_pressed) -> F (semaphore_is_yellow & engine_starts)
{'it is going to happen that the engine starts and a semaphore is broken after either a house is open or a constructor instantiate objects'},G((constructor_instantiate_objects | house_is_open) -> F(engine_starts & semaphore_is_broken)),F((house_is_open | constructor_instantiate_objects) & F(engine_starts & semaphore_is_broken))
"{'as the table is brown and a bridge closes, it is going to happen that either the motorbike has stopped or a house is built'}",G((bridge_closes & table_is_brown) -> F(house_is_built | motorbike_has_stopped)),(table_is_brown & bridge_closes) -> F(motorbike_has_stopped | house_is_built)
"{'it will not happen that a constructor creates instances, a house is open and a manager handles requests'}",G!(constructor_creates_instances & house_is_open & manager_handles_requests),!(constructor_creates_instances & house_is_open & manager_handles_requests)
"{'On condition that ( prop_3 ) , then the following condition is true : ( prop_2 ) , and at the same time point ( prop_1 ) .'}",G(prop_3 -> (prop_1 & prop_2)),prop_3 -> (prop_2 & prop_1)
{'It is always the case that in case that the event that ( prop_2 ) gets detected or ( prop_3 ) then the following condition holds : the transition action that ( prop_4 ) will be detected at the same time and at the same moment the event that ( prop_1 ) should never happen .'},G((prop_2 | prop_3) -> (prop_1 & prop_4)),G((prop_2 | prop_3) -> (prop_4 & !prop_1))
"{'after either the brake is pressed or the escalator is blocked, it will happen that either the house collapses or the escalator moves'}",G((brake_is_pressed | escalator_is_blocked) -> F(escalator_moves | house_collapses)),F((brake_is_pressed | escalator_is_blocked) -> F(house_collapses | escalator_moves))
"{'At some point ( prop_1 ) happens , and in the same time ( prop_2 ) and ( prop_3 ) should happen .'}",prop_2 & prop_3 & Fprop_1,F(prop_1 & prop_2 & prop_3)
"{'first, it is going to happen that a sensor retrieves data or a table is brown, and then, it will happen that a table has been moved and a train derails'}",G!(sensor_retrieves_data | table_is_brown) | F((sensor_retrieves_data | table_is_brown) & F(table_has_been_moved & train_derails)),F((sensor_retrieves_data | table_is_brown) & F(table_has_been_moved & train_derails))
"{'first, eventually, both a semaphore is yellow and the bridge closes, and then, it is going to happen that the engine breaks or a manager handles requests'}",G!(bridge_closes & semaphore_is_yellow) | F(bridge_closes & semaphore_is_yellow & F(engine_breaks | manager_handles_requests)),F((semaphore_is_yellow & bridge_closes) & F(engine_breaks | manager_handles_requests))
"{'after either the brake is released or a semaphore is red, finally, the train has arrived and a motorbike falls down'}",G((brake_is_released | semaphore_is_red) -> F(motorbike_falls_down & train_has_arrived)),F((brake_is_released | semaphore_is_red) -> F(train_has_arrived & motorbike_falls_down))
"{'after either the sensor retrieves data or the engine starts, sooner or later a semaphore is red and a car enters'}",G((engine_starts | sensor_retrieves_data) -> F(car_enters & semaphore_is_red)),F((sensor_retrieves_data | engine_starts) -> F(semaphore_is_red & car_enters))
{'if both a semaphore is yellow and the engine starts then it will happen that either a train derails or a car enters'},G((engine_starts & semaphore_is_yellow) -> F(car_enters | train_derails)),(semaphore_is_yellow & engine_starts) -> F(train_derails | car_enters)
"{'if a train derails and the constructor instantiate objects then finally, the bar has to be repaired or the sensor retrieves data'}",G((constructor_instantiate_objects & train_derails) -> F(bar_has_to_be_repaired | sensor_retrieves_data)),(train_derails & constructor_instantiate_objects) -> F (bar_has_to_be_repaired | sensor_retrieves_data)
{'at some point either the train is crossing or the train has been launched after the house is open and the escalator speeds up'},G((escalator_speeds_up & house_is_open) -> F(train_has_been_launched | train_is_crossing)),F((house_is_open & escalator_speeds_up) -> (train_is_crossing | F train_has_been_launched))
"{'a house collapses implies that after the train is crossing, at a certain moment the bar has to be repaired'}",G(house_collapses -> G(train_is_crossing -> Fbar_has_to_be_repaired)),house_collapses -> (train_is_crossing -> F bar_has_to_be_repaired)
"{'at a certain moment either a sensor retrieves data or the engine starts and, it will happen that both the engine stops and a car stops afterwards'}",G!(engine_starts | sensor_retrieves_data) | F((engine_starts | sensor_retrieves_data) & F(car_stops & engine_stops)),(sensor_retrieves_data | engine_starts) & F(engine_stops & X car_stops)
"{'in any case the escalator moves, the bar is up and an elevator is open'}",G(bar_is_up & elevator_is_open & escalator_moves),G(escalator_moves -> (bar_is_up & elevator_is_open))
"{'after both a table is old and the table has been moved, at some point in time the semaphore is green and an elevator is blocked'}",G((table_has_been_moved & table_is_old) -> F(elevator_is_blocked & semaphore_is_green)),F((table_is_old & table_has_been_moved) & F(semaphore_is_green & elevator_is_blocked))
"{'a constructor instantiate objects and, as a consequence, always when the house is built then finally, the car enters'}",G(constructor_instantiate_objects -> G(house_is_built -> Fcar_enters)),constructor_instantiate_objects & G(house_is_built -> F car_enters)
"{'as a semaphore is yellow and the table has been moved, finally, the bar is closing and the motorbike is driven'}",G((semaphore_is_yellow & table_has_been_moved) -> F(bar_is_closing & motorbike_is_driven)),(semaphore_is_yellow & table_has_been_moved) -> F(bar_is_closing & motorbike_is_driven)
{'when possible ( prop_1 ) and at any time ( prop_2 )'},F(prop_1 & Fprop_2),F(prop_1) & G(prop_2)
{'it will not happen that a car stops or a house collapses or the table has been moved'},G!(car_stops | house_collapses | table_has_been_moved),!(car_stops | house_collapses | table_has_been_moved)
"{'Take a photo of fire_source should always hold, with at most a two-step grace period for recovery.'}","!G!(""photo(fire_source)"" & X""photo(fire_source)"")","G(F[0,2] ""photo(fire_source)"")"
{'go through blue_room to get to red_room'},F(blue_room & Fred_room),(!red_room U (blue_room & F red_room))
{'when possible present_at flag or at some time bring pear'},"F""present_at(flag)"" | F""bring(pear)""","G(""present_at(flag)"" -> F ""bring(pear)"")"
"{'after either the engine stops or the bridge opens, at some point in time the car stops or the manager handles requests'}",G((bridge_opens | engine_stops) -> F(car_stops | manager_handles_requests)),F((engine_stops | bridge_opens) & F(car_stops | manager_handles_requests))
{'In the case ( prop_1 ) and ( prop_3 ) then all of the following conditions are true : right away ( prop_2 ) .'},G((prop_1 & prop_3) -> prop_2),(prop_1 & prop_3) -> X prop_2
"{'as both the motorbike catches fire and a motorbike has started, finally, either the engine breaks or the bridge closes'}",G((motorbike_catches_fire & motorbike_has_started) -> F(bridge_closes | engine_breaks)),(motorbike_catches_fire & motorbike_has_started) -> F (engine_breaks | bridge_closes)
{'if the car enters and the train is crossing then at a certain moment the motorbike is driven or the semaphore is green'},G((car_enters & train_is_crossing) -> F(motorbike_is_driven | semaphore_is_green)),(car_enters & train_is_crossing) -> F (motorbike_is_driven | semaphore_is_green)
"{'as the bridge closes or the bar has to be repaired, at some point the semaphore is yellow'}",G((bar_has_to_be_repaired | bridge_closes) -> Fsemaphore_is_yellow),(bridge_closes | bar_has_to_be_repaired) -> F semaphore_is_yellow
"{'in any case the escalator moves, the bar is closing and the bar is up'}",G(bar_is_closing & bar_is_up & escalator_moves),G(escalator_moves -> (bar_is_closing & bar_is_up))
"{'Globally , everytime when the event that ( prop_1 ) happens and the transition action that ( prop_3 ) occurs then without any delay ( prop_2 ) .'}",G((prop_1 & prop_3) -> prop_2),G((prop_1 & prop_3) -> X prop_2)
"{'after the bar is down or a constructor instantiate objects, it will happen that either the constructor instantiate objects or the bar is up'}",G((bar_is_down | constructor_instantiate_objects) -> F(bar_is_up | constructor_instantiate_objects)),(bar_is_down | constructor_instantiate_objects) -> F(constructor_instantiate_objects | bar_is_up)
"{'as either the sensor gathers information or the table has been moved, in the future an elevator rises and a motorbike falls down'}",G((sensor_gathers_information | table_has_been_moved) -> F(elevator_rises & motorbike_falls_down)),(sensor_gathers_information | table_has_been_moved) -> F(elevator_rises & motorbike_falls_down)
{'when possible ( prop_1 ) means that at some time ( prop_2 )'},Fprop_1 -> Fprop_2,G(prop_1 -> F prop_2)
{'if a manager handles requests and a semaphore is broken then it is going to happen that the car starts and the engine starts'},G((manager_handles_requests & semaphore_is_broken) -> F(car_starts & engine_starts)),(manager_handles_requests & semaphore_is_broken) -> F(car_starts & engine_starts)
"{'finally, both a semaphore is green and a car starts and, at a certain moment either a car enters or the motorbike is driven afterwards'}",G!(car_starts & semaphore_is_green) | F(car_starts & semaphore_is_green & F(car_enters | motorbike_is_driven)),F((semaphore_is_green & car_starts) & F(car_enters | X motorbike_is_driven))
"{'as the table is brown and the train stops, at some point in time both the house collapses and the motorbike falls down'}",G((table_is_brown & train_stops) -> F(house_collapses & motorbike_falls_down)),(table_is_brown & train_stops) -> F(house_collapses & motorbike_falls_down)
"{'In the case the scenario that ( prop_1 ) takes place , and ( prop_3 ) then the following condition holds : at the same time point ( prop_2 ) .'}",G((prop_1 & prop_3) -> prop_2),(prop_1 & prop_3) -> prop_2
"{'as either the engine stops or the train stops, it will happen that an elevator is blocked and the motorbike has stopped'}",G((engine_stops | train_stops) -> F(elevator_is_blocked & motorbike_has_stopped)),(engine_stops | train_stops) -> F(elevator_is_blocked & motorbike_has_stopped)
"{'at a certain moment the sensor retrieves data and the train is crossing and, finally, the manager handles requests or a manager collect claims afterwards'}",G!(sensor_retrieves_data & train_is_crossing) | F(sensor_retrieves_data & train_is_crossing & F(manager_collect_claims | manager_handles_requests)),F(sensor_retrieves_data & train_is_crossing & F(manager_handles_requests | X manager_collect_claims))
"{'as both a manager collect claims and a constructor creates instances, in the future either the table is old or a sensor retrieves data'}",G((constructor_creates_instances & manager_collect_claims) -> F(sensor_retrieves_data | table_is_old)),(manager_collect_claims & constructor_creates_instances) -> F(table_is_old | sensor_retrieves_data)
"{'first, sooner or later a table is old or the bar has to be repaired, and then, it will happen that a sensor retrieves data or the manager collect claims'}",G!(bar_has_to_be_repaired | table_is_old) | F((bar_has_to_be_repaired | table_is_old) & F(manager_collect_claims | sensor_retrieves_data)),F(table_is_old | bar_has_to_be_repaired) & F(sensor_retrieves_data | manager_collect_claims)
{'go through red or blue to get to green'},F((blue_room | red_room) & Fgreen_room),(F(red_room) | F(blue_room)) U green_room
"{'If idle holds, then in the next step pickup the traffic_light persists until geting help holds, or else pickup the traffic_light holds forever.'}","idle -> X((""pickup(traffic_light)"" U get_help) | G""pickup(traffic_light)"")","idle -> (X(""pickup(traffic_light)"" U get_help) | G ""pickup(traffic_light)"")"
"{'it will happen that both the semaphore is red and a manager collect claims and, at some point in time the elevator rises and the bar is closing afterwards'}",G!(manager_collect_claims & semaphore_is_red) | F(manager_collect_claims & semaphore_is_red & F(bar_is_closing & elevator_rises)),F((semaphore_is_red & manager_collect_claims) & F(elevator_rises & F bar_is_closing))
"{'every time the motorbike falls down, the motorbike has started and a constructor instantiate objects'}",G(constructor_instantiate_objects & motorbike_falls_down & motorbike_has_started),G(motorbike_falls_down -> (motorbike_has_started & constructor_instantiate_objects))
"{'Globally , when ( prop_1 ) or ( prop_2 ) , then the following condition holds : right away ( prop_3 ) .'}",G((prop_1 | prop_2) -> prop_3),G((prop_1 | prop_2) -> X prop_3)
"{'after the house is open and the bridge opens, it will happen that either the bridge closes or a semaphore is broken'}",G((bridge_opens & house_is_open) -> F(bridge_closes | semaphore_is_broken)),F((house_is_open & bridge_opens) -> F(bridge_closes | semaphore_is_broken))
{'you must walk through the red_room to get to the green_room'},F(red_room & Fgreen_room),(!green_room U red_room)
{'it will happen that either the car starts or the semaphore is broken after either the constructor instantiate objects or the bar is up'},G((bar_is_up | constructor_instantiate_objects) -> F(car_starts | semaphore_is_broken)),F((car_starts | semaphore_is_broken) & (constructor_instantiate_objects | bar_is_up))
"{'as the escalator is blocked and the escalator moves, at a certain moment the car starts or the train derails'}",G((escalator_is_blocked & escalator_moves) -> F(car_starts | train_derails)),(escalator_is_blocked & escalator_moves) -> F(car_starts | train_derails)
"{'at a certain moment the motorbike has stopped and the semaphore is red and, it will happen that a sensor retrieves data or a bridge closes afterwards'}",G!(motorbike_has_stopped & semaphore_is_red) | F(motorbike_has_stopped & semaphore_is_red & F(bridge_closes | sensor_retrieves_data)),F(motorbike_has_stopped & semaphore_is_red & F(sensor_retrieves_data | X bridge_closes))
{'go through the passage into the blue_room but only if you go through a green or red_room first'},F((green_room | red_room) & Fblue_room),(!blue_room) U (green_room | red_room) & F blue_room
"{'all the time a sensor gathers information, the escalator is blocked and an elevator falls'}",G(elevator_falls & escalator_is_blocked & sensor_gathers_information),G(sensor_gathers_information -> (escalator_is_blocked & elevator_falls))
"{'the table is brown and, as a consequence, every time a table is old then finally, the train stops'}",G(table_is_brown -> G(table_is_old -> Ftrain_stops)),table_is_brown & G(table_is_old -> F train_stops)
"{'after the sensor retrieves data or the engine starts, it is going to happen that both the engine breaks and the car starts'}",G((engine_starts | sensor_retrieves_data) -> F(car_starts & engine_breaks)),F((sensor_retrieves_data | engine_starts) -> F(engine_breaks & car_starts))
"{'after both a table is brown and the escalator speeds up, eventually, either the elevator falls or the bar is closing'}",G((escalator_speeds_up & table_is_brown) -> F(bar_is_closing | elevator_falls)),F((table_is_brown & escalator_speeds_up) -> F(elevator_falls | bar_is_closing))
"{'first, at some point in time both the escalator speeds up and the bridge opens, and then, at some point the manager handles requests or a motorbike has started'}",G!(bridge_opens & escalator_speeds_up) | F(bridge_opens & escalator_speeds_up & F(manager_handles_requests | motorbike_has_started)),F((escalator_speeds_up & bridge_opens) & F(manager_handles_requests | motorbike_has_started))
"{'at some point in time the escalator speeds up or a house collapses and, it will happen that both the sensor retrieves data and the train is crossing afterwards'}",G!(escalator_speeds_up | house_collapses) | F((escalator_speeds_up | house_collapses) & F(sensor_retrieves_data & train_is_crossing)),F(escalator_speeds_up | house_collapses) & F(sensor_retrieves_data & X train_is_crossing)
"{'each time the elevator is blocked then after a train derails, it will happen that the elevator falls'}",G(elevator_is_blocked -> G(train_derails -> Felevator_falls)),G(elevator_is_blocked -> F(train_derails -> F elevator_falls))
{'in the future both a train has arrived and the brake is pressed after a car enters and the constructor instantiate objects'},G((car_enters & constructor_instantiate_objects) -> F(brake_is_pressed & train_has_arrived)),F((car_enters & constructor_instantiate_objects) -> F(train_has_arrived & brake_is_pressed))
{'acquire apple and when possible come home'},"""acquire(apple)"" & F""come(home)""","F(""acquire(apple)"") & F(""come(home)"")"
"{'after the bar is up and the car stops, finally, the bridge closes or an elevator is blocked'}",G((bar_is_up & car_stops) -> F(bridge_closes | elevator_is_blocked)),F((bar_is_up & car_stops) -> F(bridge_closes | elevator_is_blocked))
"{'as the bridge closes and the engine starts, it is going to happen that both a motorbike catches fire and the sensor retrieves data'}",G((bridge_closes & engine_starts) -> F(motorbike_catches_fire & sensor_retrieves_data)),(bridge_closes & engine_starts) -> F(motorbike_catches_fire & sensor_retrieves_data)
{'It is always the case that whenever ( prop_2 ) or ( prop_3 ) then in response ( prop_1 ) .'},G((prop_2 | prop_3) -> prop_1),G((prop_2 | prop_3) -> F prop_1)
"{'first, sooner or later either the table is brown or the elevator rises, and then, at some point an elevator is open or the train derails'}",G!(elevator_rises | table_is_brown) | F((elevator_rises | table_is_brown) & F(elevator_is_open | train_derails)),F(table_is_brown | elevator_rises) & F(elevator_is_open | train_derails)
{'at some point in time either a bridge closes or a semaphore is green after either the house is open or a constructor instantiate objects'},G((constructor_instantiate_objects | house_is_open) -> F(bridge_closes | semaphore_is_green)),F((house_is_open | constructor_instantiate_objects) -> X(bridge_closes | semaphore_is_green))
{'at a certain moment either a motorbike is driven or a bridge closes after either a constructor instantiate objects or the bar is up'},G((bar_is_up | constructor_instantiate_objects) -> F(bridge_closes | motorbike_is_driven)),F(motorbike_is_driven | ( (constructor_instantiate_objects | bar_is_up) -> X bridge_closes ))
"{'Globally , everytime when the transition action that ( prop_2 ) takes place , then all of the following conditions are true : ( prop_1 ) and consistently this scenario will have to sustain till there will exist sometime in the future ultimately , at which the transition action that ( prop_3 ) will not take place .'}",G(prop_2 -> (prop_1 U prop_3)),G(prop_2 -> (prop_1 U F !prop_3))
{'walk through any room except the blue_room to enter the yellow_room'},Fyellow_room & G!blue_room,(!blue_room) U yellow_room
"{'if either the motorbike has stopped or the bar has to be repaired then eventually, either a car stops or the table has been moved'}",G((bar_has_to_be_repaired | motorbike_has_stopped) -> F(car_stops | table_has_been_moved)),(motorbike_has_stopped | bar_has_to_be_repaired) -> F (car_stops | table_has_been_moved)
"{'at any time the bar is up, the brake is released and the elevator is blocked'}",G(bar_is_up & brake_is_released & elevator_is_blocked),G(bar_is_up -> (brake_is_released & elevator_is_blocked))
"{'it should not happen that either the constructor creates instances, the train has been launched or the motorbike has stopped'}",G!(constructor_creates_instances | motorbike_has_stopped | train_has_been_launched),!(constructor_creates_instances | train_has_been_launched | motorbike_has_stopped)
"{'If the event that ( prop_3 ) gets observed , then ( prop_2 ) or instantly ( prop_1 ) .'}",G(prop_3 -> (prop_1 | prop_2)),prop_3 -> (prop_2 | X prop_1)
{'it is going to happen that the table is brown and the train stops after the bar is down or the semaphore is green'},G((bar_is_down | semaphore_is_green) -> F(table_is_brown & train_stops)),F(table_is_brown & ( (bar_is_down | semaphore_is_green) -> X train_stops ))
"{'the elevator rises involves that as a train stops, eventually, a house collapses'}",G(elevator_rises -> G(train_stops -> Fhouse_collapses)),elevator_rises -> (train_stops -> F house_collapses)
"{'after the brake is pressed and the sensor captures data, finally, the semaphore is green or a car enters'}",G((brake_is_pressed & sensor_captures_data) -> F(car_enters | semaphore_is_green)),F((brake_is_pressed & sensor_captures_data) -> F(semaphore_is_green | car_enters))
"{'as a table is brown and the escalator speeds up, eventually, either the house is built or the motorbike falls down'}",G((escalator_speeds_up & table_is_brown) -> F(house_is_built | motorbike_falls_down)),(table_is_brown & escalator_speeds_up) -> F(house_is_built | motorbike_falls_down)
"{'after a constructor creates instances and the escalator moves, sooner or later both a semaphore is green and the train derails'}",G((constructor_creates_instances & escalator_moves) -> F(semaphore_is_green & train_derails)),F((constructor_creates_instances & escalator_moves) -> F(semaphore_is_green & train_derails))
"{'it is going to happen that the bar has to be repaired or the table is old and, in the future either the engine starts or an elevator is open afterwards'}",G!(bar_has_to_be_repaired | table_is_old) | F((bar_has_to_be_repaired | table_is_old) & F(elevator_is_open | engine_starts)),F(bar_has_to_be_repaired | (table_is_old & F(engine_starts | X elevator_is_open)))
"{'as either a sensor retrieves data or the engine starts, at some point in time the escalator is blocked or the constructor creates instances'}",G((engine_starts | sensor_retrieves_data) -> F(constructor_creates_instances | escalator_is_blocked)),(sensor_retrieves_data | engine_starts) -> F (escalator_is_blocked | constructor_creates_instances)
{'each time a car starts then if the constructor instantiate objects then at a certain moment the semaphore is green'},G(car_starts -> G(constructor_instantiate_objects -> Fsemaphore_is_green)),G(car_starts -> (constructor_instantiate_objects -> F semaphore_is_green))
"{'as an elevator falls or a motorbike catches fire, finally, a semaphore is green or the car enters'}",G((elevator_falls | motorbike_catches_fire) -> F(car_enters | semaphore_is_green)),(elevator_falls | motorbike_catches_fire) -> F (semaphore_is_green | car_enters)
"{'first, eventually, a sensor gathers information and the motorbike catches fire, and then, at a certain moment either the bridge closes or a semaphore is broken'}",G!(motorbike_catches_fire & sensor_gathers_information) | F(motorbike_catches_fire & sensor_gathers_information & F(bridge_closes | semaphore_is_broken)),F((sensor_gathers_information & motorbike_catches_fire) & F(bridge_closes | semaphore_is_broken))
"{'after the semaphore is yellow or the engine stops, at some point in time a motorbike is driven or the house is built'}",G((engine_stops | semaphore_is_yellow) -> F(house_is_built | motorbike_is_driven)),F((semaphore_is_yellow | engine_stops) -> F(motorbike_is_driven | house_is_built))
"{'as the bar is closing or the motorbike has started, it will happen that the engine breaks and the constructor creates instances'}",G((bar_is_closing | motorbike_has_started) -> F(constructor_creates_instances & engine_breaks)),(bar_is_closing | motorbike_has_started) -> F(engine_breaks & constructor_creates_instances)
"{'after both the bar is closing and the car starts, in the future either a car stops or a house is built'}",G((bar_is_closing & car_starts) -> F(car_stops | house_is_built)),F((bar_is_closing & car_starts) & F(car_stops | house_is_built))
"{'after the brake is released or a table is old, eventually, both the engine stops and the brake is released'}",G((brake_is_released | table_is_old) -> F(brake_is_released & engine_stops)),(brake_is_released | table_is_old) -> F(engine_stops & brake_is_released)
"{'the table is brown implies that after an elevator rises, it will happen that the motorbike has stopped'}",G(table_is_brown -> G(elevator_rises -> Fmotorbike_has_stopped)),table_is_brown -> (F elevator_rises -> F motorbike_has_stopped)
{'if either the engine breaks or a train has arrived then sooner or later a constructor creates instances or the motorbike falls down'},G((engine_breaks | train_has_arrived) -> F(constructor_creates_instances | motorbike_falls_down)),(engine_breaks | train_has_arrived) -> F(constructor_creates_instances | motorbike_falls_down)
"{'if the bridge opens or the motorbike has started then forever, either a sensor captures data or the train has been launched'}",G((bridge_opens | motorbike_has_started) -> G(sensor_captures_data | train_has_been_launched)),(bridge_opens | motorbike_has_started) -> G(sensor_captures_data | train_has_been_launched)
"{'finally, the brake is pressed and the escalator moves after either the bar is closing or an elevator falls'}",G((bar_is_closing | elevator_falls) -> F(brake_is_pressed & escalator_moves)),F((bar_is_closing | elevator_falls) -> F(brake_is_pressed & escalator_moves))
{'in the future the engine breaks or the bar is closing after the bar has to be repaired or the engine breaks'},G((bar_has_to_be_repaired | engine_breaks) -> F(bar_is_closing | engine_breaks)),F((engine_breaks | bar_is_closing) & F(bar_has_to_be_repaired | engine_breaks))
{'under no circumstances a bridge opens and the sensor retrieves data after a house is open and the semaphore is green'},G((house_is_open & semaphore_is_green) -> G!(bridge_opens & sensor_retrieves_data)),G(!(house_is_open & semaphore_is_green) -> F(bridge_opens & sensor_retrieves_data))
"{'after either the manager handles requests or the motorbike catches fire, it will happen that a semaphore is red and a car enters'}",G((manager_handles_requests | motorbike_catches_fire) -> F(car_enters & semaphore_is_red)),F((manager_handles_requests | motorbike_catches_fire) -> F(semaphore_is_red & car_enters))
{'it will not happen that the constructor creates instances or a manager handles requests or the engine starts'},G!(constructor_creates_instances | engine_starts | manager_handles_requests),!(constructor_creates_instances | manager_handles_requests | engine_starts)
"{'in any case a table is brown, the semaphore is green and the house collapses'}",G(house_collapses & semaphore_is_green & table_is_brown),G(table_is_brown -> (semaphore_is_green & house_collapses))
"{'It is always the case that in case that the scenario that ( prop_1 ) gets detected , then all of the following conditions hold : without any delay the transition action that ( prop_2 ) will have to get observed or at the same time instant ( prop_3 ) .'}",G(prop_1 -> (prop_2 | prop_3)),G(prop_1 -> (X prop_2 | prop_3))
{'the robot has to go through the yellow or red_room to get to the blue_room'},F((red_room | yellow_room) & Fblue_room),F(blue_room) -> (F(yellow_room | red_room) U blue_room)
"{'after the engine starts and the house is built, eventually, either a house is open or the table is old'}",G((engine_starts & house_is_built) -> F(house_is_open | table_is_old)),(engine_starts & house_is_built) -> F (house_is_open | table_is_old)
"{'as the engine breaks and a motorbike is driven, it is going to happen that both the engine breaks and the engine starts'}",G((engine_breaks & motorbike_is_driven) -> F(engine_breaks & engine_starts)),(engine_breaks & motorbike_is_driven) -> F(engine_breaks & engine_starts)
{'if a train has arrived and the bar is closing then at some point in time either the brake is pressed or a motorbike catches fire'},G((bar_is_closing & train_has_arrived) -> F(brake_is_pressed | motorbike_catches_fire)),(train_has_arrived & bar_is_closing) -> F (brake_is_pressed | motorbike_catches_fire)
"{'first, in the future the house is open and the elevator rises, and then, sooner or later either a manager handles requests or a manager collect claims'}",G!(elevator_rises & house_is_open) | F(elevator_rises & house_is_open & F(manager_collect_claims | manager_handles_requests)),F(house_is_open & elevator_rises) & F(F(manager_handles_requests | manager_collect_claims))
"{'as a sensor captures data or a house is open, it is going to happen that the bar is closing and the motorbike is driven'}",G((house_is_open | sensor_captures_data) -> F(bar_is_closing & motorbike_is_driven)),(sensor_captures_data | house_is_open) -> F(bar_is_closing & motorbike_is_driven)
"{'it will happen that both a train has been launched and a constructor creates instances and, sooner or later a motorbike falls down or the manager collect claims afterwards'}",G!(constructor_creates_instances & train_has_been_launched) | F(constructor_creates_instances & train_has_been_launched & F(manager_collect_claims | motorbike_falls_down)),F((train_has_been_launched & constructor_creates_instances) & F(motorbike_falls_down | X manager_collect_claims))
"{'sooner or later both a table is brown and the bar is down and, at some point either the bridge closes or the escalator is blocked afterwards'}",G!(bar_is_down & table_is_brown) | F(bar_is_down & table_is_brown & F(bridge_closes | escalator_is_blocked)),F((table_is_brown & bar_is_down) & F(bridge_closes | X escalator_is_blocked))
"{""Globally , when the event that ( prop_2 ) occurs then all of the following conditions are true : at once the scenario that ( prop_3 ) should n't happen , or ( prop_1 ) .""}",G(prop_2 -> (prop_1 | prop_3)),G(prop_2 -> (!prop_3 | prop_1))
"{'finally, either a car enters or the escalator speeds up after both a semaphore is red and a motorbike falls down'}",G((motorbike_falls_down & semaphore_is_red) -> F(car_enters | escalator_speeds_up)),F(car_enters | F((semaphore_is_red & motorbike_falls_down) -> escalator_speeds_up))
{'enter the green_room without entering a red_room'},Fgreen_room & G!red_room,(!red_room) U green_room
{'when possible withdraw pear or at some time move_near tree'},"F""withdraw(pear)"" | F""move_near(tree)""","G(""withdraw(pear)"") | F(""move_near(tree)"")"
{'every time the engine breaks and together the engine stops and the semaphore is broken'},G(engine_breaks & engine_stops & semaphore_is_broken),G((engine_breaks & engine_stops) -> semaphore_is_broken)
"{'if the engine breaks or the table has been moved then eventually, either the bar is closing or a bridge closes'}",G((engine_breaks | table_has_been_moved) -> F(bar_is_closing | bridge_closes)),(engine_breaks | table_has_been_moved) -> F (bar_is_closing | bridge_closes)
{'if the engine stops and a sensor retrieves data then it is going to happen that the engine stops and the brake is released'},G((engine_stops & sensor_retrieves_data) -> F(brake_is_released & engine_stops)),(engine_stops & sensor_retrieves_data) -> F (engine_stops & brake_is_released)
"{'after a motorbike has started and the semaphore is red, it will not happen that the bridge opens and a sensor retrieves data'}",G((motorbike_has_started & semaphore_is_red) -> G!(bridge_opens & sensor_retrieves_data)),G((motorbike_has_started & semaphore_is_red) -> F(!(bridge_opens & sensor_retrieves_data)))
