original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL
Go to street 5 and stay away from parking lot 2;<>street_5&&[]!parking_lot_2;Fstreet_5 & G!parking_lot_2;['street_5', 'parking_lot_2'];Go to street_5 and stay away from parking_lot_2;{'street 5': 'street_5', 'parking lot 2': 'parking_lot_2'};{'street_5': 'ap_0', 'parking_lot_2': 'ap_1'};Fap_0 & G!ap_1
Stay within park 1 until table 3 is reached;park_1 U table_3;park_1 U table_3;['park_1', 'table_3'];Stay within park_1 until table_3 is reached;{'park 1': 'park_1', 'table 3': 'table_3'};{'park_1': 'ap_0', 'table_3': 'ap_1'};ap_0 U ap_1
Go to kitchen 1 to pick up bottle 2 and remain in hall 2 afterward;<>(kitchen_1&&<>(p_bottle_2&&<>(hall_2&&[]hall_2)));F(kitchen_1 & F(p_bottle_2 & F(hall_2 & Ghall_2)));['kitchen_1', 'p_bottle_2', 'hall_2'];Go to kitchen_1 to pick up p_bottle_2 and remain in hall_2 afterward;{'kitchen 1': 'kitchen_1', 'bottle 2': 'p_bottle_2', 'hall 2': 'hall_2'};{'kitchen_1': 'ap_0', 'p_bottle_2': 'ap_1', 'hall_2': 'ap_2'};F(ap_0 & F(ap_1 & F(ap_2 & Gap_2)))
Do not go to street 4 before reaching intersection 2, as you proceed to house 13 and collect trash 13;!street_4 U intersection_2&&<>(house_13&&p_trash_13);(!street_4 U intersection_2) & F(house_13 & p_trash_13);['street_4', 'intersection_2', 'house_13', 'p_trash_13'];Do not go to street_4 before reaching intersection_2, as you proceed to house_13 and collect p_trash_13;{'street 4': 'street_4', 'intersection 2': 'intersection_2', 'house 13': 'house_13', 'trash 13': 'p_trash_13'};{'street_4': 'ap_0', 'intersection_2': 'ap_1', 'house_13': 'ap_2', 'p_trash_13': 'ap_3'};(!ap_0 U ap_1) & F(ap_2 & ap_3)
Avoid going to streets 3 and 4 indefinitely;[]!(street_3||street_4);G!(street_3 | street_4);['street_4', 'street_3'];Avoid going to streets 3 and 4 indefinitely;{'street 4': 'street_4', 'street 3': 'street_3'};{'street_4': 'ap_0', 'street_3': 'ap_1'};G!(ap_1 | ap_0)
Keep returing to charger 2 while transporting plate 4 from table 2 to table 4;[]<>charger_2&&<>(table_2&&<>(p_plate_4&&<>(table_4&&pd)));GFcharger_2 & F(table_2 & F(p_plate_4 & F(pd & table_4)));['pd', 'table_4', 'table_2', 'charger_2', 'p_plate_4'];Keep returing to charger_2 while transporting p_plate_4 from table_2 to table_4;{'pd': 'pd', 'table 4': 'table_4', 'table 2': 'table_2', 'charger 2': 'charger_2', 'plate 4': 'p_plate_4'};{'pd': 'ap_0', 'table_4': 'ap_1', 'table_2': 'ap_2', 'charger_2': 'ap_3', 'p_plate_4': 'ap_4'};GFap_3 & F(ap_2 & F(ap_4 & F(ap_0 & ap_1)))
Go to office 3 to pick up document 1 and move to street 2 to remain there indefinitely;<>(office_3&&<>(p_document_1&&<>(street_2&&[]street_2)));F(office_3 & F(p_document_1 & F(street_2 & Gstreet_2)));['office_3', 'street_2', 'p_document_1'];Go to office_3 to pick up p_document_1 and move to street_2 to remain there indefinitely;{'office 3': 'office_3', 'street 2': 'street_2', 'document 1': 'p_document_1'};{'office_3': 'ap_0', 'street_2': 'ap_1', 'p_document_1': 'ap_2'};F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)))
Retrieve letter 3 at post office 1 and take it to house 2;<>(post_office_1&&<>(p_letter_3&&<>(house_2&&pd)));F(post_office_1 & F(p_letter_3 & F(house_2 & pd)));['pd', 'house_2', 'post_office_1', 'p_letter_3'];Retrieve p_letter_3 at post_office_1 and take it to house_2;{'pd': 'pd', 'house 2': 'house_2', 'post office 1': 'post_office_1', 'letter 3': 'p_letter_3'};{'pd': 'ap_0', 'house_2': 'ap_1', 'post_office_1': 'ap_2', 'p_letter_3': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Capture an image of landmark 6;<>(landmark_6&&photo);F(landmark_6 & photo);['photo', 'landmark_6'];Capture an image of landmark_6;{'photo': 'photo', 'landmark 6': 'landmark_6'};{'photo': 'ap_0', 'landmark_6': 'ap_1'};F(ap_1 & ap_0)
Ensure you keep returning to street 4 periodically;[]<>street_4;GFstreet_4;['street_4'];Ensure you keep returning to street_4 periodically;{'street 4': 'street_4'};{'street_4': 'ap_0'};GFap_0
Ensure you reach house 5 and stay there forever;<>[]house_5;FGhouse_5;['house_5'];Ensure you reach house_5 and stay there forever;{'house 5': 'house_5'};{'house_5': 'ap_0'};FGap_0
Avoid going to statue 2 until you arrive at park 5 and take a picture of it;<>(statue_2&&photo)&&!statue_2 U park_5;F(photo & statue_2) & (!statue_2 U park_5);['photo', 'park_5', 'statue_2'];Avoid going to statue_2 until you arrive at park_5 and take a picture of it;{'photo': 'photo', 'park 5': 'park_5', 'statue 2': 'statue_2'};{'photo': 'ap_0', 'park_5': 'ap_1', 'statue_2': 'ap_2'};F(ap_0 & ap_2) & (!ap_2 U ap_1)
Do not pick up cone 1 or cone 2 at any time;[]!(p_cone_1||p_cone_2);G!(p_cone_1 | p_cone_2);['p_cone_2', 'p_cone_1'];Do not pick up p_cone_1 or p_cone_2 at any time;{'cone 2': 'p_cone_2', 'cone 1': 'p_cone_1'};{'p_cone_2': 'ap_0', 'p_cone_1': 'ap_1'};G!(ap_1 | ap_0)
Avoid street 4 as you transport package 8 from store 7 to house 2;[]!street_4&&<>(store_7&&<>(p_package_8&&<>(house_2&&pd)));G!street_4 & F(store_7 & F(p_package_8 & F(house_2 & pd)));['pd', 'street_4', 'house_2', 'p_package_8', 'store_7'];Avoid street_4 as you transport p_package_8 from store_7 to house_2;{'pd': 'pd', 'street 4': 'street_4', 'house 2': 'house_2', 'package 8': 'p_package_8', 'store 7': 'store_7'};{'pd': 'ap_0', 'street_4': 'ap_1', 'house_2': 'ap_2', 'p_package_8': 'ap_3', 'store_7': 'ap_4'};G!ap_1 & F(ap_4 & F(ap_3 & F(ap_2 & ap_0)))
Retrieve cone 5 from parking lot 2 and place it in street 1;<>(parking_lot_2&&<>(p_cone_5&&<>(street_1&&pd)));F(parking_lot_2 & F(p_cone_5 & F(pd & street_1)));['pd', 'p_cone_5', 'parking_lot_2', 'street_1'];Retrieve p_cone_5 from parking_lot_2 and place it in street_1;{'pd': 'pd', 'cone 5': 'p_cone_5', 'parking lot 2': 'parking_lot_2', 'street 1': 'street_1'};{'pd': 'ap_0', 'p_cone_5': 'ap_1', 'parking_lot_2': 'ap_2', 'street_1': 'ap_3'};F(ap_2 & F(ap_1 & F(ap_0 & ap_3)))
Ensure you repeatedly pick up trash can 4 from house 2;[]<>(house_2&&p_trash_can_4);GF(house_2 & p_trash_can_4);['house_2', 'p_trash_can_4'];Ensure you repeatedly pick up p_trash_can_4 from house_2;{'house 2': 'house_2', 'trash can 4': 'p_trash_can_4'};{'house_2': 'ap_0', 'p_trash_can_4': 'ap_1'};GF(ap_0 & ap_1)
Avoid entering house 4 indefinitely;[]!house_4;G!house_4;['house_4'];Avoid entering house_4 indefinitely;{'house 4': 'house_4'};{'house_4': 'ap_0'};G!ap_0
Go to building 4 without ever visiting street 3;[]!street_3&&<>building_4;G!street_3 & Fbuilding_4;['street_3', 'building_4'];Go to building_4 without ever visiting street_3;{'street 3': 'street_3', 'building 4': 'building_4'};{'street_3': 'ap_0', 'building_4': 'ap_1'};G!ap_0 & Fap_1
Pick up package 2 from store 3, take it to house 2, while avoiding mall 1 completely;<>(store_3&&<>(p_package_2&&<>(house_2&&pd)))&&[]!mall_1;F(store_3 & F(p_package_2 & F(house_2 & pd))) & G!mall_1;['pd', 'house_2', 'store_3', 'p_package_2', 'mall_1'];Pick up p_package_2 from store_3, take it to house_2, while avoiding mall_1 completely;{'pd': 'pd', 'house 2': 'house_2', 'store 3': 'store_3', 'package 2': 'p_package_2', 'mall 1': 'mall_1'};{'pd': 'ap_0', 'house_2': 'ap_1', 'store_3': 'ap_2', 'p_package_2': 'ap_3', 'mall_1': 'ap_4'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0))) & G!ap_4
Never visit house 3 under any circumstances;[]!house_3;G!house_3;['house_3'];Never visit house_3 under any circumstances;{'house 3': 'house_3'};{'house_3': 'ap_0'};G!ap_0
Ensure you repeatedly ccapture images of landmark 21;[]<>(landmark_21&&photo);GF(landmark_21 & photo);['photo', 'landmark_21'];Ensure you repeatedly ccapture images of landmark_21;{'photo': 'photo', 'landmark 21': 'landmark_21'};{'photo': 'ap_0', 'landmark_21': 'ap_1'};GF(ap_1 & ap_0)
Go to intersection 5 and never leave;<>[]intersection_5;FGintersection_5;['intersection_5'];Go to intersection_5 and never leave;{'intersection 5': 'intersection_5'};{'intersection_5': 'ap_0'};FGap_0
Retrieve trash can 4 at house 1 and move it to garbage dump 3;<>(house_1&&<>(p_trash_can_4&&<>(garbage_dump_3&&pd)));F(house_1 & F(p_trash_can_4 & F(garbage_dump_3 & pd)));['pd', 'house_1', 'p_trash_can_4', 'garbage_dump_3'];Retrieve p_trash_can_4 at house_1 and move it to garbage_dump_3;{'pd': 'pd', 'house 1': 'house_1', 'trash can 4': 'p_trash_can_4', 'garbage dump 3': 'garbage_dump_3'};{'pd': 'ap_0', 'house_1': 'ap_1', 'p_trash_can_4': 'ap_2', 'garbage_dump_3': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Retrieve pass 2 from house 3 and deliver it to office 2 while avoiding street 5 until after picking up pass 2;<>(house_3&&<>(p_pass_2&&<>(office_2&&pd)))&&!street_5 U p_pass_2;F(house_3 & F(p_pass_2 & F(office_2 & pd))) & (!street_5 U p_pass_2);['pd', 'street_5', 'office_2', 'house_3', 'p_pass_2'];Retrieve p_pass_2 from house_3 and deliver it to office_2 while avoiding street_5 until after picking up p_pass_2;{'pd': 'pd', 'street 5': 'street_5', 'office 2': 'office_2', 'house 3': 'house_3', 'pass 2': 'p_pass_2'};{'pd': 'ap_0', 'street_5': 'ap_1', 'office_2': 'ap_2', 'house_3': 'ap_3', 'p_pass_2': 'ap_4'};F(ap_3 & F(ap_4 & F(ap_2 & ap_0))) & (!ap_1 U ap_4)
Keep returning to car 3 as you work your way to building 2;[]<>car_3&&<>building_2;GFcar_3 & Fbuilding_2;['car_3', 'building_2'];Keep returning to car_3 as you work your way to building_2;{'car 3': 'car_3', 'building 2': 'building_2'};{'car_3': 'ap_0', 'building_2': 'ap_1'};GFap_0 & Fap_1
Retrieve letter 2 from post office 1 and deliver it to building 3;<>(post_office_1&&<>(p_lettter_2&&<>(building_3&&pd)));F(post_office_1 & F(p_lettter_2 & F(building_3 & pd)));['pd', 'post_office_1', 'p_lettter_2', 'building_3'];Retrieve letter 2 from post_office_1 and deliver it to building_3;{'pd': 'pd', 'post office 1': 'post_office_1', 'lettter 2': 'p_lettter_2', 'building 3': 'building_3'};{'pd': 'ap_0', 'post_office_1': 'ap_1', 'p_lettter_2': 'ap_2', 'building_3': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Do not collect cone 2 before going to intersection 4;!p_cone_2 U intersection_4;!p_cone_2 U intersection_4;['intersection_4', 'p_cone_2'];Do not collect p_cone_2 before going to intersection_4;{'intersection 4': 'intersection_4', 'cone 2': 'p_cone_2'};{'intersection_4': 'ap_0', 'p_cone_2': 'ap_1'};!ap_1 U ap_0
Go to park 8 and never leave;<>[]park_8;FGpark_8;['park_8'];Go to park_8 and never leave;{'park 8': 'park_8'};{'park_8': 'ap_0'};FGap_0
Take a photograph of building 2.;<>(building_2&&photo);F(building_2 & photo);['photo', 'building_2'];Take a photograph of building_2.;{'photo': 'photo', 'building 2': 'building_2'};{'photo': 'ap_0', 'building_2': 'ap_1'};F(ap_1 & ap_0)
Go to store 1, grab bottle 3, and move it to hospital 2.;<>(shop_1&&<>(p_bottle_3&&<>(hospital_2&&pd)));F(shop_1 & F(p_bottle_3 & F(hospital_2 & pd)));['pd', 'p_bottle_3', 'shop_1', 'hospital_2'];Go to store 1, grab p_bottle_3, and move it to hospital_2.;{'pd': 'pd', 'bottle 3': 'p_bottle_3', 'shop 1': 'shop_1', 'hospital 2': 'hospital_2'};{'pd': 'ap_0', 'p_bottle_3': 'ap_1', 'shop_1': 'ap_2', 'hospital_2': 'ap_3'};F(ap_2 & F(ap_1 & F(ap_3 & ap_0)))
Go to parking lot 2 to collect dish 2;<>(parking_lot_2&&p_dish_2);F(p_dish_2 & parking_lot_2);['p_dish_2', 'parking_lot_2'];Go to parking_lot_2 to collect p_dish_2;{'dish 2': 'p_dish_2', 'parking lot 2': 'parking_lot_2'};{'p_dish_2': 'ap_0', 'parking_lot_2': 'ap_1'};F(ap_0 & ap_1)
Pick up water bottle 4 from hospital 3 while staying away from pharmacy 2;<>(hospital_3&&p_bottle_4)&&[]!pharmacy_2;F(hospital_3 & p_bottle_4) & G!pharmacy_2;['p_bottle_4', 'hospital_3', 'pharmacy_2'];Pick up water p_bottle_4 from hospital_3 while staying away from pharmacy_2;{'bottle 4': 'p_bottle_4', 'hospital 3': 'hospital_3', 'pharmacy 2': 'pharmacy_2'};{'p_bottle_4': 'ap_0', 'hospital_3': 'ap_1', 'pharmacy_2': 'ap_2'};F(ap_1 & ap_0) & G!ap_2
Do not leave parking lot 4 until you reach car 5;parking_lot_4 U car_5;parking_lot_4 U car_5;['parking_lot_4', 'car_5'];Do not leave parking_lot_4 until you reach car_5;{'parking lot 4': 'parking_lot_4', 'car 5': 'car_5'};{'parking_lot_4': 'ap_0', 'car_5': 'ap_1'};ap_0 U ap_1
Ensure you stay away from street 5 until you get to store 1 to deliver package 4;!street_5 U store_1&&<>(store_1&&p_package_4);(!street_5 U store_1) & F(p_package_4 & store_1);['p_package_4', 'street_5', 'store_1'];Ensure you stay away from street_5 until you get to store_1 to deliver p_package_4;{'package 4': 'p_package_4', 'street 5': 'street_5', 'store 1': 'store_1'};{'p_package_4': 'ap_0', 'street_5': 'ap_1', 'store_1': 'ap_2'};(!ap_1 U ap_2) & F(ap_0 & ap_2)
Drop any item you have and move to parking lot 2;<>(pd&&<>parking_lot_2);F(pd & Fparking_lot_2);['pd', 'parking_lot_2'];Drop any item you have and move to parking_lot_2;{'pd': 'pd', 'parking lot 2': 'parking_lot_2'};{'pd': 'ap_0', 'parking_lot_2': 'ap_1'};F(ap_0 & Fap_1)
Go to kitchen 2 to grab bottle 3, staying away from living room 1;<>(kitchen_2&&p_bottle_3)&&[]!living_room_1;F(kitchen_2 & p_bottle_3) & G!living_room_1;['p_bottle_3', 'kitchen_2', 'living_room_1'];Go to kitchen_2 to grab p_bottle_3, staying away from living_room_1;{'bottle 3': 'p_bottle_3', 'kitchen 2': 'kitchen_2', 'living room 1': 'living_room_1'};{'p_bottle_3': 'ap_0', 'kitchen_2': 'ap_1', 'living_room_1': 'ap_2'};F(ap_1 & ap_0) & G!ap_2
Reach parking lot 5 and ensure you do not leave it.;<>[]parking_lot_5;FGparking_lot_5;['parking_lot_5'];Reach parking_lot_5 and ensure you do not leave it.;{'parking lot 5': 'parking_lot_5'};{'parking_lot_5': 'ap_0'};FGap_0
Ensure you visit charging station 5 regularly while continuously moving package 5 from warehouse1 to store 5;[]<>charging_station_5&&[]<>(warehouse_1&&<>(p_package_5&&<>(store_5&&pd)));GFcharging_station_5 & GF(warehouse_1 & F(p_package_5 & F(pd & store_5)));['pd', 'p_package_5', 'store_5', 'charging_station_5', 'warehouse_1'];Ensure you visit charging_station_5 regularly while continuously moving p_package_5 from warehouse1 to store_5;{'pd': 'pd', 'package 5': 'p_package_5', 'store 5': 'store_5', 'charging station 5': 'charging_station_5', 'warehouse 1': 'warehouse_1'};{'pd': 'ap_0', 'p_package_5': 'ap_1', 'store_5': 'ap_2', 'charging_station_5': 'ap_3', 'warehouse_1': 'ap_4'};GFap_3 & GF(ap_4 & F(ap_1 & F(ap_0 & ap_2)))
Ensure you never enter park 3 while retrieving cone 2 from police station 1 and placing it in intersection 2.;[]!park_3&&<>(police_station_1&&p_cone_2&&<>(intersection_2&&pd));G!park_3 & F(p_cone_2 & police_station_1 & F(intersection_2 & pd));['pd', 'park_3', 'p_cone_2', 'police_station_1', 'intersection_2'];Ensure you never enter park_3 while retrieving p_cone_2 from police_station_1 and placing it in intersection_2.;{'pd': 'pd', 'park 3': 'park_3', 'cone 2': 'p_cone_2', 'police station 1': 'police_station_1', 'intersection 2': 'intersection_2'};{'pd': 'ap_0', 'park_3': 'ap_1', 'p_cone_2': 'ap_2', 'police_station_1': 'ap_3', 'intersection_2': 'ap_4'};G!ap_1 & F(ap_2 & ap_3 & F(ap_4 & ap_0))
Continuously return to street 5 over time.;[]<>street_5;GFstreet_5;['street_5'];Continuously return to street_5 over time.;{'street 5': 'street_5'};{'street_5': 'ap_0'};GFap_0
Stay out of building 1 until you get to street 4.;!building_1 U street_4;!building_1 U street_4;['building_1', 'street_4'];Stay out of building_1 until you get to street_4.;{'building 1': 'building_1', 'street 4': 'street_4'};{'building_1': 'ap_0', 'street_4': 'ap_1'};!ap_0 U ap_1
Go to parkinglot 2 while ensureing you do not place anything down.;<>parking_lot_2&&[]!pd;Fparking_lot_2 & G!pd;['pd', 'parking_lot_2'];Go to parkinglot 2 while ensureing you do not place anything down.;{'pd': 'pd', 'parking lot 2': 'parking_lot_2'};{'pd': 'ap_0', 'parking_lot_2': 'ap_1'};Fap_1 & G!ap_0
Stay in building 3, but only after reaching garage 3 first.;<>[]building_3&&!building_3 U garage_3;FGbuilding_3 & (!building_3 U garage_3);['building_3', 'garage_3'];Stay in building_3, but only after reaching garage_3 first.;{'building 3': 'building_3', 'garage 3': 'garage_3'};{'building_3': 'ap_0', 'garage_3': 'ap_1'};FGap_0 & (!ap_0 U ap_1)
Ensure that you never visit street 3;[]!street_3;G!street_3;['street_3'];Ensure that you never visit street_3;{'street 3': 'street_3'};{'street_3': 'ap_0'};G!ap_0
Reach statue 5 to take a photograph;<>(statue_5&&photo);F(photo & statue_5);['photo', 'statue_5'];Reach statue_5 to take a photograph;{'photo': 'photo', 'statue 5': 'statue_5'};{'photo': 'ap_0', 'statue_5': 'ap_1'};F(ap_0 & ap_1)
Ensure you regularly go to area 2 and take a picture;[]<>(area_2&&photo);GF(area_2 & photo);['photo', 'area_2'];Ensure you regularly go to area_2 and take a picture;{'photo': 'photo', 'area 2': 'area_2'};{'photo': 'ap_0', 'area_2': 'ap_1'};GF(ap_1 & ap_0)
Reach street 5, and after that, go to building 2 and stay permanently;<>(street_5&&<>(building_2&&[]building_2));F(street_5 & F(building_2 & Gbuilding_2));['street_5', 'building_2'];Reach street_5, and after that, go to building_2 and stay permanently;{'street 5': 'street_5', 'building 2': 'building_2'};{'street_5': 'ap_0', 'building_2': 'ap_1'};F(ap_0 & F(ap_1 & Gap_1))
Go to house 4, collect trash 4, and place it at garbage dump 1;<>(house_4&&<>(p_trash_4&&<>(garbage_dump_1&&pd)));F(house_4 & F(p_trash_4 & F(garbage_dump_1 & pd)));['pd', 'house_4', 'p_trash_4', 'garbage_dump_1'];Go to house_4, collect p_trash_4, and place it at garbage_dump_1;{'pd': 'pd', 'house 4': 'house_4', 'trash 4': 'p_trash_4', 'garbage dump 1': 'garbage_dump_1'};{'pd': 'ap_0', 'house_4': 'ap_1', 'p_trash_4': 'ap_2', 'garbage_dump_1': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Stay out of garage 1 until you take a picture as part of photographing landmark 5;!garage_1 U photo&&<>(landmark_5&&photo);(!garage_1 U photo) & F(landmark_5 & photo);['photo', 'garage_1', 'landmark_5'];Stay out of garage_1 until you take a picture as part of photographing landmark_5;{'photo': 'photo', 'garage 1': 'garage_1', 'landmark 5': 'landmark_5'};{'photo': 'ap_0', 'garage_1': 'ap_1', 'landmark_5': 'ap_2'};(!ap_1 U ap_0) & F(ap_2 & ap_0)
Go to bedroom 2 to grab bottle 3 and put it down in kitchen 4;<>(bedroom_2&&<>(p_bottle_3&&<>(kitchen_4&&pd)));F(bedroom_2 & F(p_bottle_3 & F(kitchen_4 & pd)));['pd', 'bedroom_2', 'p_bottle_3', 'kitchen_4'];Go to bedroom_2 to grab p_bottle_3 and put it down in kitchen_4;{'pd': 'pd', 'bedroom 2': 'bedroom_2', 'bottle 3': 'p_bottle_3', 'kitchen 4': 'kitchen_4'};{'pd': 'ap_0', 'bedroom_2': 'ap_1', 'p_bottle_3': 'ap_2', 'kitchen_4': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Reach street 5 without going through parking lot 2;<>street_5&&[]!parking_lot_2;Fstreet_5 & G!parking_lot_2;['street_5', 'parking_lot_2'];Reach street_5 without going through parking_lot_2;{'street 5': 'street_5', 'parking lot 2': 'parking_lot_2'};{'street_5': 'ap_0', 'parking_lot_2': 'ap_1'};Fap_0 & G!ap_1
Do not leave park 1 before reaching table 3;park_1 U table_3;park_1 U table_3;['park_1', 'table_3'];Do not leave park_1 before reaching table_3;{'park 1': 'park_1', 'table 3': 'table_3'};{'park_1': 'ap_0', 'table_3': 'ap_1'};ap_0 U ap_1
Pick up bottle 2 from kitchen 1 and proceed to hall 2, where you stay permanently;<>(kitchen_1&&<>(p_bottle_2&&<>(hall_2&&[]hall_2)));F(kitchen_1 & F(p_bottle_2 & F(hall_2 & Ghall_2)));['kitchen_1', 'p_bottle_2', 'hall_2'];Pick up p_bottle_2 from kitchen_1 and proceed to hall_2, where you stay permanently;{'kitchen 1': 'kitchen_1', 'bottle 2': 'p_bottle_2', 'hall 2': 'hall_2'};{'kitchen_1': 'ap_0', 'p_bottle_2': 'ap_1', 'hall_2': 'ap_2'};F(ap_0 & F(ap_1 & F(ap_2 & Gap_2)))
Stay out of street 4 until you get to intersection 2 and retrieve trash 13 from house 13;!street_4 U intersection_2&&<>(house_13&&p_trash_13);(!street_4 U intersection_2) & F(house_13 & p_trash_13);['street_4', 'intersection_2', 'house_13', 'p_trash_13'];Stay out of street_4 until you get to intersection_2 and retrieve p_trash_13 from house_13;{'street 4': 'street_4', 'intersection 2': 'intersection_2', 'house 13': 'house_13', 'trash 13': 'p_trash_13'};{'street_4': 'ap_0', 'intersection_2': 'ap_1', 'house_13': 'ap_2', 'p_trash_13': 'ap_3'};(!ap_0 U ap_1) & F(ap_2 & ap_3)
Do not visit either street 3 or street 4 at any point;[]!(street_3||street_4);G!(street_3 | street_4);['street_4', 'street_3'];Do not visit either street_3 or street_4 at any point;{'street 4': 'street_4', 'street 3': 'street_3'};{'street_4': 'ap_0', 'street_3': 'ap_1'};G!(ap_1 | ap_0)
Ensure you visit charger 2 regularly as you continue delivering plate 4 from table 2 to table 4;[]<>charger_2&&<>(table_2&&<>(p_plate_4&&<>(table_4&&pd)));GFcharger_2 & F(table_2 & F(p_plate_4 & F(pd & table_4)));['pd', 'table_4', 'table_2', 'charger_2', 'p_plate_4'];Ensure you visit charger_2 regularly as you continue delivering p_plate_4 from table_2 to table_4;{'pd': 'pd', 'table 4': 'table_4', 'table 2': 'table_2', 'charger 2': 'charger_2', 'plate 4': 'p_plate_4'};{'pd': 'ap_0', 'table_4': 'ap_1', 'table_2': 'ap_2', 'charger_2': 'ap_3', 'p_plate_4': 'ap_4'};GFap_3 & F(ap_2 & F(ap_4 & F(ap_0 & ap_1)))
Collect docuent 1 from office 3 and take it to street 2, where you stay permanently;<>(office_3&&<>(p_document_1&&<>(street_2&&[]street_2)));F(office_3 & F(p_document_1 & F(street_2 & Gstreet_2)));['office_3', 'street_2', 'p_document_1'];Collect docuent 1 from office_3 and take it to street_2, where you stay permanently;{'office 3': 'office_3', 'street 2': 'street_2', 'document 1': 'p_document_1'};{'office_3': 'ap_0', 'street_2': 'ap_1', 'p_document_1': 'ap_2'};F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)))
Go to post office 1, collect letter 3, and bring it to house 2;<>(post_office_1&&<>(p_letter_3&&<>(house_2&&pd)));F(post_office_1 & F(p_letter_3 & F(house_2 & pd)));['pd', 'house_2', 'post_office_1', 'p_letter_3'];Go to post_office_1, collect p_letter_3, and bring it to house_2;{'pd': 'pd', 'house 2': 'house_2', 'post office 1': 'post_office_1', 'letter 3': 'p_letter_3'};{'pd': 'ap_0', 'house_2': 'ap_1', 'post_office_1': 'ap_2', 'p_letter_3': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Take a photograph of landmark 6;<>(landmark_6&&photo);F(landmark_6 & photo);['photo', 'landmark_6'];Take a photograph of landmark_6;{'photo': 'photo', 'landmark 6': 'landmark_6'};{'photo': 'ap_0', 'landmark_6': 'ap_1'};F(ap_1 & ap_0)
Regularly visit street 4;[]<>street_4;GFstreet_4;['street_4'];Regularly visit street_4;{'street 4': 'street_4'};{'street_4': 'ap_0'};GFap_0
Find and stay at house 5 without leaving;<>[]house_5;FGhouse_5;['house_5'];Find and stay at house_5 without leaving;{'house 5': 'house_5'};{'house_5': 'ap_0'};FGap_0
Do not enter statue 2 until you have reached park 5 and taken a picture;<>(statue_2&&photo)&&!statue_2 U park_5;F(photo & statue_2) & (!statue_2 U park_5);['photo', 'park_5', 'statue_2'];Do not enter statue_2 until you have reached park_5 and taken a picture;{'photo': 'photo', 'park 5': 'park_5', 'statue 2': 'statue_2'};{'photo': 'ap_0', 'park_5': 'ap_1', 'statue_2': 'ap_2'};F(ap_0 & ap_2) & (!ap_2 U ap_1)
Avoid picking up both cone 1 and cone 2 indefinitely;[]!(p_cone_1||p_cone_2);G!(p_cone_1 | p_cone_2);['p_cone_2', 'p_cone_1'];Avoid picking up both p_cone_1 and p_cone_2 indefinitely;{'cone 2': 'p_cone_2', 'cone 1': 'p_cone_1'};{'p_cone_2': 'ap_0', 'p_cone_1': 'ap_1'};G!(ap_1 | ap_0)
Deliver package 8 from store 7 to house 2 without entering street 4;[]!street_4&&<>(store_7&&<>(p_package_8&&<>(house_2&&pd)));G!street_4 & F(store_7 & F(p_package_8 & F(house_2 & pd)));['pd', 'street_4', 'house_2', 'p_package_8', 'store_7'];Deliver p_package_8 from store_7 to house_2 without entering street_4;{'pd': 'pd', 'street 4': 'street_4', 'house 2': 'house_2', 'package 8': 'p_package_8', 'store 7': 'store_7'};{'pd': 'ap_0', 'street_4': 'ap_1', 'house_2': 'ap_2', 'p_package_8': 'ap_3', 'store_7': 'ap_4'};G!ap_1 & F(ap_4 & F(ap_3 & F(ap_2 & ap_0)))
Go to parking lot 2 to pick up cone 5 and put it down in street 1;<>(parking_lot_2&&<>(p_cone_5&&<>(street_1&&pd)));F(parking_lot_2 & F(p_cone_5 & F(pd & street_1)));['pd', 'p_cone_5', 'parking_lot_2', 'street_1'];Go to parking_lot_2 to pick up p_cone_5 and put it down in street_1;{'pd': 'pd', 'cone 5': 'p_cone_5', 'parking lot 2': 'parking_lot_2', 'street 1': 'street_1'};{'pd': 'ap_0', 'p_cone_5': 'ap_1', 'parking_lot_2': 'ap_2', 'street_1': 'ap_3'};F(ap_2 & F(ap_1 & F(ap_0 & ap_3)))
Keep returning to house 2 to collect trash can 4;[]<>(house_2&&p_trash_can_4);GF(house_2 & p_trash_can_4);['house_2', 'p_trash_can_4'];Keep returning to house_2 to collect p_trash_can_4;{'house 2': 'house_2', 'trash can 4': 'p_trash_can_4'};{'house_2': 'ap_0', 'p_trash_can_4': 'ap_1'};GF(ap_0 & ap_1)
Do not visit house 4 under any circumstances;[]!house_4;G!house_4;['house_4'];Do not visit house_4 under any circumstances;{'house 4': 'house_4'};{'house_4': 'ap_0'};G!ap_0
